@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-diameter REAL
@ATTRIBUTE gill-attachment {e, a, d, x, s, ?, p, f}
@ATTRIBUTE gill-spacing {c, d, ?, f}
@ATTRIBUTE stem-height REAL
@ATTRIBUTE stem-width REAL
@ATTRIBUTE stem-root {?, s, b, r, f, c}
@ATTRIBUTE stem-surface {y, ?, i, s, g, h, t, k, f}
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}

@DATA
p,5.7,f,f,0.0,0.0,f,f,f
p,0.66,d,?,4.86,0.96,?,?,y
p,4.31,s,d,3.35,11.15,?,i,y
e,6.4,p,d,6.26,12.36,?,s,n
e,7.11,s,?,9.59,12.49,?,i,n
p,4.48,?,?,6.37,4.85,?,?,w
p,8.52,x,d,6.54,17.82,b,?,w
p,5.13,s,d,4.9,12.08,?,i,y
p,1.58,?,?,4.72,2.62,?,s,n
e,3.93,f,f,4.91,12.42,?,?,y
p,2.13,a,?,2.78,5.49,?,?,y
p,3.17,a,?,4.48,5.29,?,t,y
p,4.6,e,?,7.52,7.71,?,?,y
e,7.33,d,?,3.71,10.42,?,?,w
e,4.32,x,c,5.55,5.57,?,s,n
p,6.1,s,?,5.01,6.91,?,y,n
e,12.58,?,?,21.57,15.32,s,?,n
p,4.16,a,c,4.04,5.22,?,y,n
e,3.19,a,c,3.89,6.63,?,?,e
e,7.2,a,c,7.21,16.72,?,?,g
p,1.45,a,?,4.69,1.53,?,t,n
p,7.5,a,c,9.99,11.64,?,y,n
p,3.24,a,c,4.4,7.01,?,y,n
e,6.61,s,?,8.06,10.91,?,i,o
p,2.26,a,c,4.7,3.63,?,i,u
p,4.67,p,?,2.55,4.9,?,k,n
e,2.44,a,d,4.57,2.52,?,s,n
p,6.4,d,c,4.65,7.22,?,?,o
p,6.12,s,d,5.86,15.47,?,i,y
p,2.41,a,?,7.46,2.67,?,?,n
p,4.38,a,?,5.2,7.93,?,?,w
e,51.02,p,?,7.96,46.97,?,k,k
p,4.6,?,c,6.86,7.99,?,?,w
e,5.16,f,f,3.67,10.71,?,?,y
e,4.17,x,c,7.52,7.9,b,?,w
p,15.34,p,?,8.81,28.12,c,?,y
e,6.8,a,d,6.87,6.13,?,t,g
e,13.01,e,c,17.32,12.35,?,s,w
p,3.45,a,?,4.71,3.34,?,y,n
p,7.35,x,?,14.23,8.04,r,g,n
e,8.57,s,c,6.36,30.6,?,?,w
e,7.81,p,?,6.78,12.34,?,?,y
p,1.96,a,?,3.08,2.38,?,?,w
p,0.86,?,c,3.97,2.6,?,?,n
p,3.27,?,?,4.48,5.48,?,?,e
p,4.04,f,f,5.39,28.25,?,g,w
p,9.79,s,?,8.02,17.26,?,i,n
p,6.66,s,c,4.08,9.8,?,?,p
p,6.09,a,?,8.37,10.02,?,?,e
p,7.77,e,c,13.9,13.14,?,y,w
p,3.59,?,?,7.18,4.86,?,?,w
p,22.19,d,c,6.53,41.23,?,k,k
e,4.39,s,?,4.14,7.65,?,?,w
p,6.19,e,?,7.8,8.32,?,?,o
p,12.39,e,?,10.86,14.34,?,?,w
p,1.25,f,f,3.1,5.39,?,?,y
p,2.69,f,f,0.0,0.0,f,f,f
p,3.57,s,?,4.58,3.39,?,?,n
e,1.59,a,?,5.66,1.58,?,?,g
e,9.25,?,?,7.28,26.32,b,?,n
p,7.58,s,c,4.49,10.39,?,?,p
p,8.11,e,c,13.05,13.22,?,y,w
p,3.57,f,f,6.08,33.21,?,g,w
e,10.01,?,?,4.16,21.28,?,?,n
e,9.37,e,?,8.79,15.71,?,y,w
e,6.34,p,?,5.25,12.33,?,?,e
p,5.11,a,?,5.14,8.33,?,?,y
e,8.74,x,c,9.13,21.53,?,s,w
p,7.52,x,c,7.55,12.76,?,?,w
p,1.64,a,c,8.64,2.57,?,t,y
p,0.7,a,?,4.1,0.95,?,h,k
p,2.39,e,c,3.34,3.19,?,k,w
e,5.48,s,d,4.65,9.23,?,s,g
p,0.7,?,?,3.65,0.84,?,?,y
p,3.35,d,d,4.48,2.63,?,h,w
e,3.77,f,f,6.61,6.35,?,?,o
p,13.6,e,?,11.53,15.9,?,?,w
p,2.09,a,?,5.08,2.25,?,s,g
p,4.34,e,c,4.38,3.5,?,k,w
p,10.59,p,?,6.13,24.92,?,?,e
p,3.25,f,f,0.0,0.0,f,f,f
e,3.79,d,?,5.96,7.45,?,t,o
e,1.56,d,?,6.07,2.06,?,t,y
p,3.84,?,c,6.53,7.61,?,?,y
e,14.72,d,c,2.28,15.63,?,?,w
p,6.84,d,c,6.5,7.49,?,?,n
e,8.07,p,?,8.96,18.37,?,?,y
p,7.19,d,c,6.88,9.76,?,?,e
e,4.95,x,c,6.61,4.08,?,?,w
e,4.17,s,?,3.92,6.93,?,?,w
e,1.57,?,d,5.33,2.71,?,?,w
p,2.99,?,?,4.15,5.43,?,?,e
p,16.53,d,c,5.53,27.5,?,?,r
p,17.56,d,d,7.17,31.44,?,?,w
e,7.55,?,?,4.03,21.29,?,?,n
e,10.58,e,?,9.09,17.13,?,y,w
p,2.74,d,c,2.16,6.78,?,?,w
e,3.13,?,c,5.09,6.31,?,s,w
p,4.12,a,?,4.63,7.85,?,?,y
p,0.85,?,c,2.61,2.41,?,?,n
p,3.9,x,c,6.29,5.12,?,i,g
p,2.83,d,c,3.14,8.42,?,?,w
e,16.3,a,d,7.25,22.69,?,?,w
e,4.59,s,?,4.84,7.9,?,?,w
p,14.63,p,?,8.99,33.44,c,?,y
e,0.96,?,?,3.12,1.69,?,?,w
e,5.96,d,c,5.32,9.05,?,s,w
p,13.55,e,?,11.56,16.3,?,?,w
e,7.31,p,?,7.76,15.36,?,?,y
p,7.52,a,c,8.08,8.58,?,i,n
e,12.71,e,?,10.16,17.18,s,?,w
p,9.33,s,c,8.11,18.3,?,y,u
p,3.29,a,?,5.28,6.95,?,t,r
p,1.86,a,?,2.65,5.02,?,?,o
e,9.46,e,c,7.11,9.87,?,i,w
e,6.28,a,d,6.38,5.25,?,t,w
e,4.82,p,?,5.36,12.4,?,?,e
p,5.97,s,d,5.26,15.25,?,i,y
e,4.79,x,c,7.96,8.27,b,?,n
e,8.47,s,c,7.89,20.58,b,?,u
e,46.04,p,?,5.54,28.12,?,k,n
e,8.13,p,?,6.48,13.66,?,?,e
p,6.97,x,c,7.31,13.3,?,?,w
p,2.77,a,?,3.09,5.67,?,?,o
e,3.94,a,c,3.73,8.9,?,?,w
p,0.57,?,?,3.4,0.69,?,?,y
p,3.05,x,c,3.75,2.54,b,i,n
p,3.56,f,f,0.0,0.0,f,f,f
p,4.91,x,d,6.13,4.61,?,?,y
e,2.97,f,f,6.5,7.86,?,?,o
e,5.55,f,f,5.49,14.4,?,?,y
p,3.21,a,?,10.51,2.63,?,?,g
p,9.89,d,c,9.67,20.38,?,?,p
p,7.59,?,?,8.33,14.48,s,?,w
p,3.94,a,c,5.14,5.18,?,s,u
p,8.23,x,c,9.96,10.93,r,i,w
p,16.08,e,?,17.33,18.09,s,y,w
e,3.88,x,c,6.01,4.18,?,?,w
p,7.1,e,c,12.52,11.99,?,y,w
e,3.83,a,c,3.53,9.62,?,?,w
p,19.85,d,d,7.65,31.86,?,?,w
p,1.51,a,?,5.03,1.66,?,t,n
p,3.53,s,?,4.02,2.68,?,?,n
e,7.66,s,c,6.32,10.78,b,i,n
p,10.18,a,c,12.9,11.43,?,y,y
p,8.38,d,c,5.26,11.78,?,?,n
p,3.39,a,?,10.02,2.63,?,?,n
p,3.86,x,?,4.9,6.94,?,?,w
p,1.9,a,c,3.93,3.52,?,i,w
p,4.39,p,?,3.05,4.68,?,k,n
p,1.53,d,d,1.79,2.51,?,s,n
p,5.12,s,d,6.27,12.24,?,i,y
p,3.2,a,?,4.85,6.88,?,?,y
p,6.04,p,?,3.83,5.97,?,k,n
p,3.8,f,f,5.64,30.05,?,g,w
p,4.09,f,f,0.0,0.0,f,f,f
p,8.41,d,c,7.07,14.15,?,?,p
e,1.06,?,?,3.11,1.48,?,?,w
e,3.65,d,c,4.42,6.29,?,?,n
e,6.03,s,d,5.4,10.55,?,s,g
e,8.75,x,c,7.36,20.07,?,?,w
e,0.85,a,?,4.5,0.95,?,?,n
e,9.45,s,?,9.79,12.93,?,i,n
p,3.39,e,c,4.45,3.45,?,k,w
e,5.34,e,?,11.38,12.42,?,s,n
e,2.88,a,c,3.96,8.81,?,?,w
p,1.99,a,c,6.85,2.51,?,t,y
e,11.42,x,?,7.43,21.42,?,?,w
p,3.34,f,f,3.53,15.14,?,g,g
e,10.56,?,c,4.98,20.19,?,?,w
e,3.96,x,c,6.41,3.89,?,?,w
p,1.79,?,?,5.16,1.63,?,?,n
e,7.76,s,c,6.34,19.8,b,?,u
p,7.75,x,?,16.72,8.32,r,g,n
p,3.66,?,c,7.77,6.66,?,?,y
e,12.8,s,c,8.68,21.81,?,?,u
e,4.7,s,?,4.81,7.66,?,?,w
p,3.14,a,c,3.51,3.53,?,i,u
p,4.09,s,c,5.91,8.31,?,?,w
e,4.81,x,c,6.25,8.49,?,s,n
e,5.62,d,d,5.14,12.16,?,?,w
p,3.85,a,?,4.1,6.42,?,?,y
p,2.56,a,c,3.12,3.44,?,i,u
p,10.95,f,f,3.21,24.28,?,g,n
e,1.58,a,?,5.88,2.0,?,t,y
p,0.82,a,?,4.95,1.14,?,s,k
e,3.97,d,?,5.35,6.68,?,?,w
e,1.21,d,?,5.52,1.55,?,t,y
e,5.96,d,c,4.84,8.48,?,s,w
p,6.76,x,?,16.51,8.53,r,g,n
p,2.62,s,c,4.15,6.09,?,y,w
e,1.32,a,?,5.24,1.27,?,?,g
e,7.35,e,c,6.16,11.03,?,y,n
e,7.53,e,c,5.56,12.54,?,?,w
e,10.65,e,?,8.96,18.54,?,y,w
p,2.61,d,c,2.67,5.28,?,?,n
p,6.75,d,c,7.5,10.31,?,?,n
p,3.42,x,c,4.87,3.27,b,i,n
p,13.35,e,?,11.04,14.56,?,?,w
e,7.37,a,c,4.09,12.94,?,?,w
p,4.89,?,c,8.93,8.3,?,?,y
p,6.69,d,?,3.71,10.96,?,?,w
e,12.13,p,?,11.97,52.21,?,?,n
e,7.96,a,c,6.0,14.52,?,?,w
e,3.0,?,c,6.26,5.75,?,s,w
e,3.65,?,c,5.54,6.21,?,s,w
e,5.65,e,c,5.55,9.82,?,y,n
e,1.46,a,?,5.09,1.62,?,?,g
e,4.14,x,c,6.05,3.76,?,?,w
p,10.7,a,d,11.58,36.74,?,?,w
p,7.81,p,?,9.97,30.4,c,?,n
p,3.84,s,c,5.12,8.87,?,?,w
p,9.27,?,c,10.9,14.94,?,?,w
p,6.06,x,c,5.28,13.82,?,?,y
e,9.2,?,c,4.34,18.21,?,?,w
p,2.89,d,c,2.34,6.81,?,?,w
e,1.34,a,?,5.02,1.93,?,t,y
e,3.52,a,d,6.91,4.11,?,i,n
e,16.67,?,?,23.06,21.16,s,?,n
p,3.95,x,?,4.75,6.34,?,?,w
e,10.82,?,?,9.99,15.64,b,?,w
p,2.13,a,c,7.69,2.68,?,t,y
p,6.94,a,c,9.6,11.17,?,y,y
e,4.07,a,d,7.13,5.37,?,k,o
p,1.94,a,c,3.27,3.1,?,i,w
p,8.54,s,c,6.16,14.97,?,y,u
p,2.34,a,c,6.99,2.75,?,t,y
p,7.3,?,?,13.42,17.2,?,?,w
p,5.69,?,?,6.27,12.21,s,?,w
p,11.79,d,c,4.75,24.35,?,?,r
e,1.19,a,?,5.83,1.96,?,t,y
p,5.85,d,c,2.7,6.2,?,?,y
e,3.68,a,d,5.39,2.75,?,s,g
p,3.2,a,d,2.9,2.25,?,h,w
e,1.35,a,?,4.86,1.53,?,?,g
e,14.27,e,?,9.67,17.11,?,?,w
p,16.6,d,d,7.64,31.49,?,?,w
p,1.13,?,?,6.09,2.77,?,?,y
e,18.12,p,?,14.93,54.83,?,?,n
p,3.41,x,c,4.87,3.91,?,i,n
p,7.62,e,?,8.99,17.99,?,y,w
p,11.66,p,?,8.8,28.2,c,?,y
p,11.02,p,?,7.86,24.03,?,?,e
p,11.46,p,?,8.31,23.85,c,?,y
e,8.41,s,c,6.21,11.34,b,i,w
e,8.38,a,?,7.23,14.75,?,?,w
e,5.7,e,c,5.58,12.98,?,?,w
p,1.57,d,?,2.66,4.85,?,?,y
e,6.72,d,?,3.59,9.16,?,?,w
p,2.3,a,?,6.26,2.32,?,?,w
e,10.18,s,c,6.52,31.95,?,?,w
p,9.13,?,c,1.63,15.05,?,?,n
e,12.19,s,c,7.71,19.81,?,?,u
p,8.07,a,c,10.44,9.96,?,y,y
p,11.55,p,?,7.84,28.61,?,?,u
p,9.18,f,f,2.97,24.58,?,g,n
e,0.9,a,?,5.31,0.98,?,?,n
e,8.49,p,?,6.49,12.61,?,?,e
p,0.85,a,d,2.64,1.33,?,?,n
e,4.35,a,?,6.75,6.16,?,?,w
p,6.84,?,c,1.66,15.9,?,?,n
e,4.37,x,c,4.08,5.37,?,y,n
e,7.63,p,?,5.77,11.72,?,?,y
e,8.11,e,?,6.89,13.8,b,?,y
e,3.74,p,?,5.04,11.05,?,?,y
e,8.47,s,c,7.53,30.05,?,?,w
p,9.25,d,c,8.74,15.58,?,?,p
e,9.59,?,?,4.81,22.59,?,?,n
p,8.17,?,c,1.37,15.66,?,?,n
p,7.49,?,?,7.04,13.48,s,?,w
e,19.36,?,?,27.25,21.43,s,?,n
p,3.78,x,c,4.45,3.07,b,s,n
p,2.65,d,c,2.88,7.11,?,?,w
e,43.24,p,?,5.88,38.69,?,k,n
p,23.05,p,?,6.46,49.57,?,?,n
p,10.14,a,d,9.96,30.38,?,?,w
e,11.36,d,c,5.94,22.78,?,?,w
e,9.14,e,c,20.49,13.44,?,s,w
e,3.01,a,c,4.03,6.22,?,?,o
p,3.35,d,d,3.87,2.65,?,h,w
e,8.13,a,c,5.11,17.55,?,?,w
e,8.07,d,d,5.61,13.07,?,?,w
e,10.74,d,c,7.16,24.83,s,?,w
e,3.89,s,?,4.65,8.88,?,?,w
p,5.54,x,?,12.46,7.61,r,g,n
e,9.64,s,c,7.86,28.14,?,?,w
p,5.15,d,c,4.8,7.2,?,?,n
p,5.74,?,c,6.5,7.71,?,?,w
e,6.67,p,?,12.29,26.95,?,y,w
p,5.6,x,c,6.65,13.04,?,?,w
e,1.51,d,?,6.14,2.27,?,t,y
e,9.53,e,?,9.02,18.2,?,y,w
e,1.37,d,?,4.72,1.39,?,t,y
p,4.62,d,c,5.68,5.87,?,?,n
e,8.94,?,c,4.38,17.74,?,?,w
e,14.93,d,c,8.28,25.77,s,?,w
e,1.53,a,?,4.5,1.33,?,?,g
p,5.93,a,?,8.79,11.12,?,?,e
p,4.76,d,c,3.42,5.85,?,?,o
p,3.49,s,c,6.16,9.56,?,?,w
e,7.31,p,?,7.32,14.45,?,?,y
e,6.98,x,c,8.57,13.72,?,?,w
p,4.04,a,?,3.48,5.62,?,?,o
e,3.18,f,f,6.87,7.67,?,?,y
e,4.21,x,d,5.51,3.41,?,?,y
e,6.85,e,c,6.41,10.96,?,y,n
p,1.46,a,?,4.57,1.46,?,t,n
p,2.35,a,?,8.07,2.22,?,?,g
e,8.17,s,c,7.52,20.47,b,?,u
p,3.17,a,?,5.81,3.63,?,y,n
p,3.39,e,c,4.15,3.21,?,k,w
p,8.6,?,?,16.05,18.42,?,?,w
p,7.29,x,d,6.64,18.54,b,?,w
p,3.95,e,c,3.96,3.37,?,k,w
e,8.74,d,c,2.24,14.7,?,?,w
p,2.86,d,c,2.64,7.41,?,?,w
p,5.37,e,c,11.36,12.03,?,y,w
e,21.91,p,?,14.29,63.29,?,?,n
e,8.41,?,?,5.78,24.75,b,?,n
p,4.1,s,c,5.78,7.65,?,y,n
p,6.41,s,d,5.47,12.23,?,i,y
e,9.09,s,c,7.1,29.98,?,?,w
e,11.48,x,c,8.28,23.18,?,?,w
p,9.8,s,c,7.14,18.08,?,y,y
p,1.55,?,?,3.8,1.46,?,?,n
e,18.05,p,?,14.92,33.06,s,y,w
e,3.64,a,c,4.85,9.78,?,?,w
p,16.79,d,c,6.23,40.8,?,k,k
p,5.92,?,?,8.87,12.59,?,s,w
p,5.3,s,d,5.75,13.48,?,i,y
e,0.86,?,?,2.84,1.33,?,?,w
p,19.36,d,d,7.38,28.87,?,?,w
p,12.32,a,d,12.88,35.03,?,?,w
p,5.63,d,c,5.99,7.04,?,i,n
e,7.41,a,?,6.73,13.74,?,?,g
e,2.69,d,d,5.9,3.7,?,i,n
p,4.35,a,?,5.43,8.26,?,?,w
e,5.14,a,?,6.58,7.21,?,?,r
p,2.65,a,?,7.68,2.43,?,?,g
e,7.96,e,c,6.08,9.45,?,i,n
e,10.57,a,d,9.38,16.39,?,i,n
p,7.98,x,?,18.02,9.96,r,g,n
p,10.05,d,c,5.67,13.93,?,?,n
p,3.11,a,?,10.19,2.57,?,?,n
e,9.37,d,c,6.77,18.6,?,?,w
p,9.81,x,c,9.24,10.8,r,i,w
p,2.91,?,?,4.0,4.02,?,?,e
p,3.03,f,f,0.0,0.0,f,f,f
p,3.12,f,f,0.0,0.0,f,f,f
e,8.15,a,?,6.44,12.89,?,?,g
e,10.07,?,c,5.45,22.97,?,?,w
p,5.99,a,c,6.07,6.45,?,i,y
e,5.36,f,f,4.98,19.29,?,?,n
p,6.62,d,c,6.67,8.22,?,?,e
p,0.92,?,c,3.11,2.45,?,?,n
p,12.62,p,?,10.11,35.22,c,?,n
p,1.5,?,c,4.9,3.06,?,?,n
p,15.72,d,c,5.75,30.56,?,k,n
p,3.8,?,c,5.63,4.45,s,s,w
e,10.88,e,?,9.2,18.34,?,y,w
e,3.68,d,c,4.7,6.86,?,?,n
e,8.36,d,?,3.45,8.87,?,?,w
e,4.34,d,?,6.03,8.21,?,t,w
p,6.04,e,?,6.15,6.82,?,?,o
e,3.54,p,?,4.86,9.55,?,?,n
e,2.76,d,d,3.02,5.28,?,?,w
p,2.19,s,c,5.19,5.94,?,?,w
p,4.7,x,d,6.9,5.3,?,?,y
e,4.37,f,f,6.95,42.09,?,?,n
p,10.59,x,c,10.01,11.92,r,i,w
p,2.88,f,f,0.0,0.0,f,f,f
e,10.23,s,c,6.84,19.04,?,?,b
p,4.23,s,c,5.99,8.31,?,y,l
p,6.79,e,?,7.47,13.65,?,y,w
e,9.36,d,c,5.4,17.13,?,?,w
p,9.0,s,c,7.88,21.65,?,y,e
p,11.18,d,c,6.65,14.44,?,?,n
p,1.17,a,d,3.56,1.82,?,?,n
p,8.16,d,?,4.27,11.54,?,t,n
p,3.96,e,c,5.37,3.81,?,k,w
e,5.48,s,?,4.92,8.29,?,?,w
p,4.8,s,d,5.7,13.73,?,i,y
p,3.19,e,c,3.12,3.28,?,k,w
p,1.71,a,?,4.94,1.92,?,s,n
e,2.18,d,d,5.97,3.08,?,i,n
e,11.52,d,c,5.73,25.24,?,?,w
p,13.55,e,?,16.04,16.88,s,y,w
p,4.29,x,d,6.65,4.79,?,?,y
p,6.07,d,c,5.62,9.64,b,?,n
p,2.78,a,c,5.13,5.25,?,s,u
e,5.66,x,c,6.04,9.3,?,s,n
p,1.44,a,?,3.86,1.23,?,t,n
p,2.98,x,c,7.24,3.85,?,?,p
e,7.62,e,c,5.6,12.44,?,?,w
p,16.91,d,d,6.28,26.11,?,?,w
p,8.12,f,f,3.04,23.42,?,g,n
e,2.4,?,d,5.87,4.63,?,?,w
e,9.21,e,c,7.11,9.76,?,i,n
e,3.28,f,f,7.0,7.34,?,?,o
p,5.14,e,?,6.38,7.28,?,?,y
e,6.46,p,?,6.65,15.11,?,?,y
p,6.69,s,d,6.67,14.71,r,y,w
e,6.51,x,c,7.46,15.88,?,?,w
e,5.75,f,f,7.83,47.96,?,?,n
p,3.63,e,c,3.82,3.47,?,k,w
p,4.46,?,?,11.47,6.43,?,?,w
e,1.27,a,?,5.43,1.02,?,?,n
e,6.02,s,d,6.06,10.18,?,s,g
e,6.46,p,?,7.12,15.84,?,?,y
e,3.11,d,d,7.3,3.82,?,i,n
e,6.31,x,c,7.54,15.23,?,?,w
p,10.51,d,c,8.56,16.79,?,?,p
p,5.98,d,c,5.88,9.52,?,?,e
p,2.86,s,c,4.91,6.08,?,y,l
e,7.66,s,c,6.7,10.14,b,i,w
p,1.59,?,?,5.91,2.71,?,?,y
p,2.93,f,f,0.0,0.0,f,f,f
e,2.11,d,d,6.76,3.53,?,i,n
p,0.7,?,c,3.5,2.38,?,?,n
e,6.6,d,?,3.65,9.82,?,?,w
p,2.36,a,?,4.3,2.67,?,?,w
e,6.58,x,c,6.56,10.48,?,s,n
p,3.77,?,c,3.07,11.3,?,?,y
p,7.64,e,?,7.64,14.7,?,y,w
p,1.52,?,?,5.47,2.54,?,s,n
e,4.82,x,c,8.36,9.65,b,?,n
e,6.55,e,c,5.37,13.36,?,?,w
e,8.2,a,c,4.4,16.4,?,?,w
e,4.32,s,?,4.2,7.41,?,?,w
e,3.13,?,c,6.74,2.99,?,?,w
e,5.91,a,d,5.07,3.94,?,t,w
e,16.36,p,?,19.71,62.39,?,?,n
p,4.66,s,d,4.39,13.87,r,i,n
e,0.91,?,?,2.73,1.38,?,?,w
e,7.36,p,?,7.91,15.8,?,?,y
p,12.14,d,c,6.46,16.28,?,?,n
e,3.0,?,c,5.19,5.91,?,s,w
e,4.5,e,c,4.37,12.52,?,?,w
p,8.33,?,c,1.7,20.32,?,?,y
p,16.56,d,c,5.88,35.45,?,k,n
e,2.81,d,d,3.99,5.46,?,?,w
p,3.61,f,f,0.0,0.0,f,f,f
p,2.64,f,f,2.09,12.08,?,g,n
p,10.41,d,c,7.97,15.56,?,?,p
e,6.54,s,d,5.2,11.7,?,s,g
p,5.55,?,?,13.94,7.08,?,?,w
p,13.31,e,?,11.22,14.56,?,?,w
e,4.96,d,?,5.69,6.79,?,?,l
p,5.79,d,c,5.88,7.8,?,?,e
e,10.66,s,c,7.33,18.59,?,?,u
p,8.76,d,c,8.06,15.45,?,?,p
p,3.02,a,?,4.62,5.61,?,t,r
p,5.68,s,?,5.46,7.21,?,y,n
e,18.75,p,?,15.14,36.18,s,y,w
p,7.91,e,c,12.91,13.0,?,y,w
e,13.9,e,?,10.12,16.76,?,?,w
e,3.84,a,?,5.38,6.5,?,?,r
p,8.38,d,c,8.36,15.78,?,?,p
p,3.15,?,?,8.0,4.73,?,?,w
p,5.75,s,d,6.13,14.93,r,y,w
e,9.3,?,?,4.54,22.34,?,?,n
p,4.38,f,f,0.0,0.0,f,f,f
p,9.43,d,c,6.52,31.34,?,k,n
p,5.11,f,f,5.86,36.42,?,g,w
p,9.14,e,?,9.43,17.31,?,y,w
e,4.99,x,d,4.32,3.25,?,?,y
p,6.99,?,?,7.59,13.07,s,?,w
p,7.42,x,?,10.03,22.37,s,?,u
p,7.23,d,c,6.31,7.43,?,?,n
p,8.85,s,c,4.41,10.14,?,?,p
p,2.41,?,c,7.23,3.47,?,?,n
p,2.37,a,c,7.91,2.59,?,t,y
p,3.45,x,c,3.75,2.81,b,s,n
e,7.92,s,?,9.98,14.07,?,t,o
p,2.55,?,?,4.61,4.83,?,?,e
e,4.48,d,?,6.44,8.41,?,t,o
p,6.78,d,c,5.51,9.55,b,?,n
e,46.92,p,?,5.97,29.04,?,k,k
e,4.64,f,f,5.41,14.87,?,?,y
p,9.88,d,c,7.91,14.8,?,?,p
e,6.92,p,?,5.03,11.64,?,?,e
e,4.94,e,c,4.59,12.37,?,?,w
p,4.06,?,c,5.75,4.43,s,s,w
e,9.74,e,?,9.35,16.19,?,y,w
e,6.35,d,d,7.05,13.27,?,?,w
p,2.09,?,?,6.87,2.92,?,?,y
e,9.64,e,?,9.31,18.53,?,y,w
p,3.15,d,d,4.06,2.59,?,h,w
e,5.98,f,f,4.85,12.41,?,?,y
p,15.95,d,d,6.72,32.38,?,?,w
p,2.38,a,c,3.46,3.38,?,i,w
p,7.53,?,?,8.37,14.42,s,?,w
e,1.34,?,d,4.56,2.2,?,?,w
e,7.68,p,?,6.46,13.61,?,?,e
p,5.82,e,?,5.68,8.13,?,?,o
p,4.05,x,c,4.88,3.92,?,i,g
e,6.14,d,d,6.41,12.73,?,?,w
p,0.78,?,?,3.77,0.78,?,?,y
e,6.7,s,d,5.89,9.92,?,s,g
e,7.29,x,c,7.75,12.48,?,?,w
e,10.18,s,c,7.09,21.81,b,?,u
p,11.68,p,?,9.5,30.63,?,?,e
p,4.31,s,?,4.37,3.13,?,?,n
p,3.04,f,f,4.01,15.78,?,g,g
p,4.42,p,?,3.1,4.51,?,k,n
p,9.71,a,d,10.7,27.28,?,?,w
e,11.37,e,c,24.85,12.78,?,s,w
p,5.78,p,?,4.2,6.01,?,k,n
p,2.8,f,f,0.0,0.0,f,f,f
e,7.06,e,?,6.27,13.42,b,?,y
e,7.36,p,?,5.93,13.44,?,?,y
e,1.62,?,d,5.22,2.93,?,?,w
p,6.18,d,c,5.86,10.8,b,?,n
e,6.39,s,d,5.7,11.4,?,s,g
p,7.91,s,c,4.64,10.01,?,?,p
e,9.1,?,?,11.45,20.24,b,?,w
p,6.41,x,?,14.37,7.28,r,g,n
p,8.11,x,c,5.49,10.62,?,?,w
e,7.84,p,?,10.34,21.89,?,y,w
p,4.66,a,c,5.25,5.8,?,i,n
e,9.43,x,?,5.83,21.49,?,?,p
p,0.64,d,?,4.68,0.92,?,?,y
p,5.34,p,?,2.47,4.28,?,k,n
p,12.29,p,?,9.04,31.72,c,?,y
e,22.7,p,?,17.15,37.26,s,y,w
p,3.99,?,?,5.14,5.88,?,?,e
p,15.53,d,c,5.36,27.33,?,?,r
p,4.71,a,c,6.46,8.17,?,g,o
p,10.85,f,f,3.78,26.41,?,g,n
e,4.94,e,c,4.74,11.16,?,?,w
e,6.59,e,?,5.65,12.46,b,?,y
e,6.63,p,?,5.93,15.91,?,?,n
p,2.98,f,f,2.35,13.01,?,g,n
p,18.86,d,d,7.45,29.35,?,?,w
e,2.56,d,c,4.83,6.63,?,?,n
e,10.98,d,c,6.15,18.51,?,?,w
p,8.35,?,?,11.63,16.34,?,?,w
p,4.55,s,d,5.89,13.33,?,i,y
e,1.48,a,?,4.84,1.49,?,?,g
p,7.88,d,c,6.84,11.72,?,?,p
e,1.21,?,?,3.15,1.59,?,?,w
p,9.17,a,?,9.98,13.42,s,?,n
p,4.34,a,c,4.96,7.72,?,y,o
e,10.48,x,?,7.59,24.56,?,?,w
p,0.85,a,?,4.4,0.97,?,h,k
p,7.45,?,?,7.75,13.22,s,?,w
e,8.0,p,?,5.96,11.17,?,?,y
p,1.66,?,?,5.24,2.55,?,s,n
p,5.44,a,c,5.35,5.8,?,i,y
p,3.84,?,c,0.0,0.0,f,f,f
p,8.43,?,c,1.71,17.46,?,?,y
p,7.42,d,?,4.65,12.51,?,?,w
p,5.05,a,c,5.24,6.49,?,i,y
e,18.19,?,?,23.26,17.58,s,?,n
e,9.27,p,?,7.26,16.68,?,?,n
e,19.13,a,d,7.51,25.21,?,?,w
p,8.91,s,?,6.07,8.0,?,y,n
p,3.82,a,?,4.62,7.19,?,?,w
p,11.1,a,d,11.92,30.21,?,?,w
e,5.02,e,c,4.56,11.48,?,?,w
p,8.99,d,c,6.62,10.28,?,?,e
e,9.19,?,?,7.39,25.27,b,?,n
p,4.78,?,c,0.0,0.0,f,f,f
p,1.05,?,c,3.43,2.37,?,?,n
p,4.67,s,?,4.03,2.68,?,?,n
e,5.14,e,?,11.79,11.53,?,s,w
p,3.01,d,d,2.67,2.36,?,h,w
e,11.48,x,c,6.89,19.41,?,?,w
p,6.18,d,c,6.69,9.38,?,?,n
e,3.91,d,d,3.92,6.64,?,?,w
p,18.49,d,c,6.3,33.09,?,k,n
p,3.15,f,f,0.0,0.0,f,f,f
