@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-shape {b, x, s, f, o, c, p}
@ATTRIBUTE cap-surface {t, g, d, y, ?, s, h, l, w, i, k, e}
@ATTRIBUTE cap-color {w, n, o, e, y, p, r, k, g, u, l, b}
@ATTRIBUTE gill-color {w, y, p, g, r, e, f, n, o, u, k, b}
@ATTRIBUTE stem-surface {y, ?, i, s, g, h, t, k, f}
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}
@ATTRIBUTE veil-type {u, ?}
@ATTRIBUTE veil-color {w, ?, y, u, n, k, e}
@ATTRIBUTE has-ring {t, f}
@ATTRIBUTE ring-type {l, f, p, g, e, ?, r, m, z}
@ATTRIBUTE spore-print-color {?, w, n, p, k, g, r, u}

@DATA
e,x,s,n,g,?,w,?,?,t,l,?
p,o,t,n,w,f,f,?,?,f,f,n
p,o,k,n,n,?,n,?,?,f,f,?
e,s,l,n,f,?,n,?,?,f,f,g
e,x,h,n,n,t,g,?,?,t,l,?
p,x,s,y,f,?,y,?,?,f,f,?
p,x,w,e,w,g,n,?,?,f,f,?
p,x,s,r,r,y,w,?,?,f,f,?
p,c,?,u,w,i,w,?,?,f,f,?
e,f,?,y,w,?,g,?,?,f,f,?
p,b,y,n,u,s,w,?,?,f,f,?
p,b,t,n,k,?,n,?,?,t,f,?
e,b,g,g,g,s,n,?,?,f,f,?
p,x,h,w,y,i,n,?,?,f,f,?
p,s,t,k,w,?,r,?,?,f,f,?
p,x,t,n,p,?,w,?,n,t,z,?
p,b,s,y,r,?,y,u,w,t,z,k
e,f,g,g,g,s,n,?,?,f,f,?
p,x,?,p,w,?,y,?,?,f,f,?
e,x,?,y,o,?,w,?,?,f,f,?
p,f,?,w,n,i,u,?,?,f,f,?
e,p,i,n,p,y,w,?,?,t,l,?
p,x,g,y,y,?,y,?,?,f,f,?
p,x,k,n,n,?,n,?,?,f,f,?
p,s,?,e,w,?,e,?,?,f,f,?
e,x,s,n,w,i,n,?,?,t,?,w
p,s,d,n,w,?,n,?,?,f,f,?
e,f,y,n,w,?,n,?,w,t,e,?
e,x,s,k,w,?,w,?,?,f,f,?
e,x,?,w,n,?,n,?,w,t,?,?
p,b,y,n,w,s,w,?,?,f,f,?
p,x,?,e,r,?,y,?,?,f,f,?
p,b,t,n,k,?,w,?,?,t,?,k
e,x,t,o,n,?,e,?,?,f,f,?
p,f,w,n,y,?,n,?,?,f,f,?
e,s,?,n,w,s,w,?,?,f,f,?
p,f,w,n,y,?,n,?,?,f,f,?
e,x,y,n,p,?,w,?,?,t,l,?
e,f,s,n,w,s,n,?,?,f,f,?
p,x,e,e,n,?,y,?,w,t,z,?
p,x,d,n,n,?,n,?,?,f,f,?
e,x,h,n,n,s,w,?,w,f,f,k
e,o,l,n,f,?,n,?,?,f,f,g
e,f,s,n,w,i,n,?,?,f,f,?
p,x,h,o,w,y,w,u,w,t,p,?
p,x,k,n,e,?,y,?,?,f,f,?
e,x,?,n,n,?,n,?,w,t,?,?
e,b,g,n,w,?,y,?,?,f,f,?
p,s,?,n,b,?,e,?,?,f,f,?
p,x,t,n,g,y,n,?,?,f,f,?
e,x,t,n,o,t,o,?,?,f,f,?
p,p,t,n,n,t,y,?,?,t,e,?
p,x,e,e,n,?,n,?,w,t,z,?
p,o,s,r,f,f,f,?,?,t,f,?
p,f,y,o,y,?,o,?,?,f,f,?
p,s,s,n,y,k,n,?,?,f,f,?
e,x,h,y,y,?,w,?,?,f,f,?
p,x,g,e,w,y,w,u,w,t,p,?
p,o,s,n,w,f,f,?,?,f,f,n
e,f,y,n,w,?,n,?,w,t,e,?
p,p,?,n,w,?,n,?,?,f,f,p
p,x,i,e,e,?,e,?,?,f,f,n
p,b,t,w,w,y,w,u,w,t,l,?
p,f,t,y,n,?,y,?,?,f,f,?
p,s,k,n,y,k,k,?,?,f,f,?
p,s,d,o,o,?,y,?,?,f,f,?
p,s,d,o,y,?,y,?,?,f,f,?
e,f,e,g,w,?,w,?,?,f,f,?
e,x,w,g,k,?,w,?,?,f,f,?
p,o,t,r,o,?,y,?,?,f,f,?
p,s,d,y,o,?,o,?,?,f,f,?
e,p,s,n,n,?,w,?,?,t,r,?
p,s,?,u,w,?,y,?,?,f,f,?
e,x,?,n,w,?,w,u,w,t,g,?
e,x,?,b,u,?,w,?,?,f,f,?
e,f,w,g,g,?,w,?,?,f,f,?
p,o,?,g,f,g,n,?,?,f,f,?
p,x,y,y,w,y,y,?,?,t,r,?
p,o,k,n,n,?,n,?,?,f,f,?
p,f,?,n,y,?,n,?,?,f,f,?
e,f,s,b,w,s,n,?,?,f,f,?
e,x,t,y,w,t,y,?,?,f,f,?
e,f,w,g,k,?,w,?,?,f,f,?
p,f,?,u,w,i,u,?,?,f,f,?
p,c,h,n,n,?,y,?,?,f,f,?
p,x,y,w,p,?,w,?,?,t,l,?
p,s,?,r,o,?,w,?,?,t,f,?
p,f,?,u,w,?,y,?,?,f,f,?
p,o,?,n,f,g,n,?,?,f,f,?
p,o,?,w,f,g,w,?,?,t,f,?
e,x,t,y,w,t,y,?,?,f,f,?
e,b,h,g,g,s,g,?,?,f,f,?
e,x,t,n,w,s,n,?,?,f,f,?
e,f,?,l,u,?,b,?,?,f,f,?
e,x,d,n,y,?,y,?,?,f,f,?
p,x,i,l,w,?,w,?,?,f,f,p
e,x,h,n,y,?,n,?,?,f,f,?
p,s,t,p,p,?,p,?,?,t,f,?
p,p,?,n,w,?,n,?,?,f,f,p
p,x,i,e,y,?,k,?,?,f,f,?
e,x,?,w,w,?,w,u,y,t,g,?
p,x,g,n,n,s,n,?,?,f,f,?
p,b,y,n,w,k,w,?,?,t,e,?
p,f,h,n,n,?,y,?,?,f,f,?
p,x,y,w,w,?,w,?,?,t,l,?
p,f,?,y,y,i,y,?,?,f,f,?
p,o,?,g,f,g,n,?,?,f,f,?
e,x,?,e,w,s,w,?,?,f,f,?
e,b,g,w,w,?,y,?,?,f,f,?
e,p,w,n,y,?,n,?,?,f,f,?
e,x,t,n,n,t,g,?,?,t,l,?
p,x,t,n,w,?,w,?,?,f,f,?
e,s,t,w,y,?,w,?,?,f,f,w
e,p,g,w,g,?,w,?,?,f,f,?
p,f,?,n,w,i,w,?,?,f,f,?
e,x,?,y,w,?,g,?,?,f,f,?
p,x,y,y,w,y,y,?,?,t,r,?
p,o,?,e,f,g,n,?,?,f,f,?
e,x,?,u,u,?,w,?,?,f,f,?
p,f,?,u,w,?,w,?,?,f,f,?
p,x,?,n,k,s,n,?,?,f,f,k
e,f,?,n,w,s,w,?,?,f,f,?
p,x,e,e,y,?,e,?,w,t,z,?
p,x,h,y,y,g,o,?,?,f,f,?
p,b,y,n,u,s,w,?,?,f,f,?
p,x,d,e,w,?,n,?,?,f,f,?
e,b,h,k,w,s,g,?,?,f,f,?
p,f,?,n,w,?,n,?,?,f,f,?
p,f,l,n,e,?,y,?,?,f,f,?
e,x,s,n,n,?,n,?,?,f,f,?
e,x,t,y,y,?,y,?,y,t,?,?
p,b,t,y,g,?,n,?,?,t,f,?
e,x,s,n,w,t,y,?,?,f,f,?
e,p,s,w,n,?,w,?,?,t,r,?
e,f,y,n,w,?,n,?,?,t,m,?
p,x,e,n,o,?,e,?,?,f,f,?
e,x,s,e,w,i,n,?,?,t,?,w
p,f,s,g,w,?,w,?,?,f,f,?
p,c,e,w,r,?,w,?,?,f,f,?
p,x,w,p,p,?,p,?,?,f,f,?
p,x,e,n,n,?,n,?,n,f,f,?
p,x,h,n,o,?,y,?,?,f,f,?
p,x,h,r,w,?,w,u,w,t,g,?
e,s,l,w,p,?,w,?,?,f,f,?
e,f,s,y,w,i,n,?,?,t,?,w
p,o,s,r,f,f,f,?,?,t,f,?
p,o,t,w,w,f,f,?,?,f,f,n
e,x,h,n,y,s,n,?,?,f,f,?
p,s,d,o,y,?,o,?,?,f,f,?
p,p,g,n,w,y,w,u,w,t,p,?
p,x,?,y,y,i,y,?,?,f,f,?
p,f,w,p,p,?,p,?,?,f,f,?
p,x,?,p,w,?,w,?,?,f,f,?
p,f,?,g,w,?,n,?,?,f,f,?
e,s,w,y,f,?,y,?,?,f,f,?
p,x,h,n,p,i,n,?,?,f,f,?
p,f,d,b,w,i,n,?,?,f,f,?
e,f,?,e,w,s,w,?,?,f,f,?
p,x,y,y,o,?,y,?,?,t,r,n
p,s,t,r,w,t,g,?,?,f,f,?
p,f,t,y,n,?,y,?,?,f,f,?
e,o,y,y,y,k,n,?,?,f,f,?
p,b,t,n,p,i,n,?,?,f,f,?
e,f,s,k,y,?,w,?,?,f,f,w
p,b,t,n,p,i,g,?,?,f,f,?
e,x,s,n,n,?,n,?,?,f,f,?
p,b,y,n,g,s,w,?,?,t,z,?
e,x,?,y,y,?,w,?,?,f,f,?
e,s,t,w,o,?,w,?,?,f,f,?
e,x,d,e,y,?,y,?,?,f,f,?
e,p,w,n,y,?,n,?,?,f,f,?
e,o,y,y,y,k,k,?,?,f,f,?
p,b,s,y,y,?,y,u,w,t,z,r
e,x,t,y,w,t,y,?,?,f,f,?
e,f,y,n,p,i,n,?,?,f,f,?
e,x,s,w,n,?,w,?,?,t,l,?
e,o,y,y,y,k,n,?,?,f,f,?
e,x,s,n,w,i,w,?,?,f,f,p
p,b,y,n,g,s,w,?,?,f,f,?
e,x,k,n,y,?,n,?,?,f,f,?
e,x,e,y,w,?,w,?,?,f,f,?
e,s,l,n,f,?,n,?,?,f,f,g
e,o,l,n,f,?,n,?,?,f,f,g
e,s,?,n,w,?,n,?,?,f,f,?
e,f,s,b,b,?,w,?,?,f,f,?
p,f,?,r,y,?,w,?,?,f,f,?
p,f,t,n,n,?,n,?,?,f,f,?
e,f,w,y,f,?,y,?,?,f,f,?
p,b,?,k,k,?,g,?,w,f,f,k
p,x,t,n,p,?,w,?,n,t,z,?
p,f,s,n,y,k,n,?,?,f,f,?
p,x,?,e,w,?,w,?,?,f,f,?
e,x,h,y,y,?,w,?,?,f,f,?
p,x,?,n,n,s,n,?,?,f,f,k
e,o,?,n,w,?,n,?,?,f,f,?
p,x,k,n,p,?,n,?,?,f,f,p
e,x,h,n,n,s,n,?,?,t,r,?
e,b,y,n,n,?,w,?,?,f,f,?
p,x,?,n,w,?,n,?,?,f,f,?
p,x,k,n,p,?,n,?,?,f,f,p
p,b,g,y,n,?,n,?,?,f,f,?
p,x,?,w,r,?,y,?,?,f,f,?
p,f,i,l,p,?,w,?,?,f,f,p
p,x,?,n,w,?,w,u,w,t,g,?
p,x,i,e,e,?,e,?,?,f,f,n
p,x,e,n,n,?,n,?,n,f,f,?
p,f,?,g,y,?,n,?,?,f,f,?
e,x,t,n,y,?,n,?,?,f,f,?
e,b,y,n,n,?,w,?,?,f,f,?
p,x,g,w,w,?,n,?,?,f,f,?
p,x,g,y,y,?,y,?,?,f,f,?
p,f,d,n,y,k,k,?,?,f,f,?
e,x,h,n,w,y,n,?,?,t,r,?
p,b,g,w,n,?,n,?,?,f,f,?
e,s,t,n,k,?,w,?,?,f,f,w
e,f,s,e,w,i,n,?,?,t,?,w
e,b,g,w,w,?,y,?,?,f,f,?
e,f,w,n,k,?,w,?,?,f,f,?
p,x,e,n,e,?,u,?,?,f,f,?
e,x,t,n,n,t,w,?,?,t,l,?
p,s,?,y,o,?,w,?,?,t,f,?
e,x,?,u,w,?,w,?,?,f,f,?
p,x,y,y,w,y,y,?,?,t,r,?
p,f,k,w,p,?,n,?,?,f,f,p
p,s,?,r,o,?,w,?,?,t,f,?
p,b,t,n,p,i,g,?,?,f,f,?
p,b,?,n,n,?,g,?,w,f,f,k
p,b,t,n,k,?,n,?,?,t,f,?
p,b,?,n,k,?,n,?,w,f,f,k
p,x,?,n,p,?,n,?,?,f,f,p
p,s,w,n,y,?,n,?,?,f,f,?
e,s,e,g,w,?,w,?,?,f,f,?
p,x,g,y,n,s,n,?,?,f,f,?
e,x,h,n,n,s,n,?,?,t,r,?
e,s,y,n,p,i,n,?,?,f,f,?
p,s,w,n,n,?,n,?,?,f,f,?
p,x,?,u,u,?,g,?,u,f,f,?
p,x,?,n,w,?,w,u,w,t,g,?
p,x,e,n,e,?,e,?,?,f,f,?
p,f,?,n,w,?,w,u,w,t,e,?
e,s,?,n,f,?,y,?,?,f,f,?
p,x,i,y,n,i,n,?,k,t,z,k
p,x,g,w,w,?,e,?,?,f,f,?
p,x,t,e,w,?,w,?,?,f,f,?
e,s,t,o,o,?,w,?,?,f,f,?
e,x,d,y,y,?,y,?,?,f,f,?
e,x,t,n,w,s,n,?,?,f,f,?
p,c,i,y,r,?,w,?,?,f,f,?
e,x,s,k,k,?,w,?,?,f,f,w
p,p,y,n,w,s,w,?,?,t,z,?
p,c,i,y,r,?,w,?,?,f,f,?
p,s,d,o,y,?,y,?,?,f,f,?
p,f,y,o,o,?,o,?,?,f,f,?
e,x,d,y,r,?,y,?,?,f,f,?
e,p,?,g,w,?,g,?,?,f,f,?
e,s,d,n,p,?,n,?,?,f,f,?
p,x,e,y,e,?,e,?,?,f,f,?
e,x,?,w,w,?,y,u,y,t,g,?
e,x,s,y,w,i,n,?,?,t,?,w
e,x,d,y,r,?,e,?,?,f,f,?
e,o,l,n,f,?,n,?,?,f,f,g
p,x,?,y,y,i,y,?,?,f,f,?
p,x,?,n,k,s,n,?,?,f,f,k
p,f,l,e,n,?,n,?,?,f,f,?
e,s,e,g,w,?,w,?,?,f,f,?
p,x,t,k,b,?,g,?,?,f,f,?
e,f,h,n,y,t,n,?,?,f,f,?
e,f,y,g,y,?,w,?,?,f,f,?
p,f,d,n,w,?,e,?,?,f,f,?
e,s,l,n,f,?,n,?,?,f,f,g
e,x,h,y,y,?,y,?,y,t,?,?
p,x,?,n,p,?,p,?,?,f,f,?
e,x,?,b,u,?,w,?,?,f,f,?
e,o,y,y,y,k,k,?,?,f,f,?
p,s,t,n,n,?,n,?,?,f,f,?
p,x,y,y,w,y,y,?,?,t,r,?
p,x,?,n,w,?,n,?,?,f,f,p
p,o,?,e,f,g,n,?,?,f,f,?
e,f,s,n,w,s,n,?,?,f,f,?
p,f,i,l,w,?,w,?,?,f,f,p
p,f,?,w,w,i,w,?,?,f,f,?
e,x,?,w,r,?,r,?,?,f,f,?
e,s,t,w,o,?,w,?,?,f,f,?
e,x,t,y,y,?,y,?,y,t,?,?
p,x,g,y,n,s,n,?,?,f,f,?
e,s,?,n,w,?,n,?,?,f,f,?
e,c,g,n,w,?,g,?,?,f,f,?
e,s,?,w,p,?,w,?,?,f,f,?
e,x,?,g,g,y,w,?,?,f,f,?
p,o,s,g,f,f,f,?,?,t,f,?
e,f,d,g,p,?,n,?,?,f,f,?
p,b,d,n,n,i,y,?,?,t,?,?
p,b,s,e,y,?,y,?,?,f,f,?
e,x,y,n,p,y,n,?,?,f,f,?
p,x,?,o,o,?,y,?,?,f,f,w
p,x,h,o,n,y,o,?,?,t,z,?
e,x,h,y,y,?,w,?,?,f,f,?
p,b,t,y,k,?,n,?,?,t,f,?
e,x,y,n,w,y,n,?,?,f,f,?
e,x,?,y,y,?,w,?,?,f,f,?
e,x,s,n,w,i,w,?,?,f,f,p
p,x,t,n,p,?,w,?,n,t,z,?
p,x,?,n,w,?,n,?,?,f,f,?
p,x,g,o,y,?,y,?,?,f,f,?
p,p,t,n,n,t,y,?,?,t,e,?
p,x,y,o,o,?,y,?,?,t,r,n
p,x,i,e,e,?,e,?,?,f,f,n
p,o,s,w,w,f,f,?,?,f,f,n
e,f,g,g,g,s,n,?,?,f,f,?
e,b,g,w,w,?,y,?,?,f,f,?
p,b,y,w,k,?,w,?,?,f,f,?
p,b,d,y,y,t,r,?,?,f,f,?
p,o,s,r,f,f,f,?,?,t,f,?
p,f,s,y,f,?,y,?,?,f,f,?
p,x,?,n,p,?,n,?,?,f,f,p
p,s,?,u,w,?,w,?,?,f,f,?
p,o,l,g,f,f,f,?,?,f,f,?
p,x,s,r,w,y,n,?,?,f,f,?
p,o,s,n,f,f,f,?,?,t,f,?
e,x,d,n,y,?,y,?,?,f,f,?
e,s,?,w,w,?,w,?,?,f,f,?
e,x,t,y,y,?,y,?,y,t,?,?
e,x,?,w,w,?,w,?,w,t,?,?
e,f,s,w,n,?,w,?,?,t,r,?
e,s,?,n,w,s,w,?,?,f,f,?
p,x,t,y,y,?,y,?,?,f,f,?
p,x,?,n,w,?,w,u,w,t,e,?
e,f,?,g,w,?,w,?,?,f,f,?
e,s,s,w,k,?,w,?,?,f,f,w
e,f,w,n,g,?,w,?,?,f,f,?
e,s,t,o,o,?,w,?,?,f,f,?
p,x,?,w,r,?,y,?,?,f,f,?
p,s,t,p,p,?,p,?,?,t,f,?
p,f,?,u,w,i,u,?,?,f,f,?
p,b,h,n,n,?,w,?,?,t,?,k
p,x,i,n,n,?,n,?,e,f,f,?
e,x,y,n,y,?,w,?,?,f,f,?
e,x,h,n,y,?,n,?,?,f,f,?
e,x,h,n,n,?,n,?,w,t,p,?
e,x,?,g,w,?,w,?,?,f,f,?
p,b,h,n,n,t,n,?,?,f,f,?
p,x,y,n,y,y,n,?,?,t,?,?
e,s,t,p,o,?,w,?,?,f,f,?
p,s,d,n,y,?,n,?,?,f,f,?
e,f,s,b,w,s,n,?,?,f,f,?
e,f,?,l,w,?,w,?,?,f,f,?
p,x,g,y,y,?,y,?,?,f,f,?
p,x,?,y,y,i,y,?,?,f,f,?
e,x,?,g,w,?,g,?,?,f,f,?
p,x,g,e,w,?,w,?,?,f,f,?
e,x,e,n,w,?,w,?,?,t,?,?
e,b,g,n,w,?,y,?,?,f,f,?
e,x,h,n,n,s,n,?,?,t,r,?
p,x,i,y,y,?,o,?,?,t,r,n
e,x,?,g,g,y,w,?,?,f,f,?
e,x,d,w,w,?,w,?,?,f,f,?
p,x,g,y,n,s,n,?,?,f,f,?
e,x,h,y,y,?,w,?,?,f,f,?
p,b,y,w,k,?,w,?,?,f,f,?
p,x,t,n,n,?,w,?,n,t,z,?
p,x,?,e,w,?,w,?,?,f,f,?
p,f,k,w,w,?,w,?,?,f,f,?
e,x,?,w,w,?,y,u,w,t,g,?
p,o,s,w,w,f,f,?,?,f,f,n
p,b,?,k,n,?,g,?,w,f,f,k
p,p,t,n,n,t,y,?,?,t,e,?
e,f,s,n,w,i,w,?,?,f,f,?
p,c,i,y,r,?,w,?,?,f,f,?
p,f,t,n,p,i,g,?,?,f,f,?
p,x,h,n,o,?,y,?,?,f,f,?
e,s,?,y,f,?,y,?,?,f,f,?
e,x,t,n,y,?,n,?,?,f,f,?
e,b,g,w,w,?,y,?,?,f,f,?
p,f,d,e,w,?,e,?,?,f,f,?
e,x,d,e,n,y,w,?,?,f,f,?
p,c,e,y,y,?,w,?,?,f,f,?
p,c,i,y,r,?,w,?,?,f,f,?
p,b,h,n,n,t,n,?,?,f,f,?
e,f,y,n,y,?,w,?,?,f,f,?
p,x,g,y,n,s,n,?,?,f,f,?
e,x,?,n,w,?,n,?,w,t,?,?
p,b,?,g,n,?,n,?,w,f,f,k
e,f,w,y,f,?,y,?,?,f,f,?
e,x,t,n,y,s,n,?,?,f,f,?
e,x,t,w,y,?,w,?,?,f,f,w
p,o,s,n,f,f,f,?,?,t,f,?
p,x,w,n,w,g,n,?,?,f,f,?
e,p,y,n,p,y,w,?,?,t,l,?
p,x,?,g,y,?,n,?,?,f,f,?
e,b,g,g,g,s,n,?,?,f,f,?
p,x,s,n,w,y,w,?,?,f,f,?
e,s,?,y,f,?,y,?,?,f,f,?
p,x,y,w,g,?,w,?,?,t,l,?
p,c,t,y,y,?,y,?,?,f,f,?
p,x,h,r,w,?,w,u,w,t,p,?
e,p,?,g,f,?,n,?,?,f,f,?
p,o,s,w,w,f,f,?,?,f,f,n
e,x,h,y,y,?,w,?,?,f,f,?
e,x,w,n,k,?,w,?,?,f,f,?
p,f,k,w,w,?,w,?,?,f,f,?
e,x,?,r,r,?,w,?,?,f,f,?
p,x,?,n,w,?,w,u,w,t,g,?
e,x,?,y,w,?,y,u,w,t,g,?
p,s,?,r,o,?,w,?,?,t,f,?
p,s,?,e,w,?,n,?,?,f,f,?
e,s,d,n,p,?,n,?,?,f,f,?
e,x,?,u,w,?,w,?,?,f,f,?
p,x,i,l,p,?,w,?,?,f,f,p
p,x,i,y,n,i,n,?,k,t,z,k
e,x,s,n,w,s,n,?,?,f,f,?
e,s,s,n,n,?,n,?,?,f,f,?
p,x,e,n,n,?,n,?,n,f,f,?
p,f,?,u,w,?,y,?,?,f,f,?
e,x,t,n,n,t,g,?,?,t,l,?
p,s,?,y,o,?,w,?,?,t,f,?
e,x,h,y,y,?,w,?,?,f,f,?
p,f,d,b,y,i,n,?,?,f,f,?
p,f,?,u,w,?,w,?,?,f,f,?
e,s,t,p,o,?,w,?,?,f,f,?
p,s,d,w,p,h,w,?,?,f,f,?
e,x,h,n,y,s,n,?,?,f,f,?
p,x,e,e,n,?,n,?,w,t,z,?
e,s,l,n,f,?,n,?,?,f,f,g
p,b,d,n,y,i,n,?,?,t,?,?
p,x,g,n,n,s,n,?,?,f,f,?
p,f,d,n,y,i,n,?,?,f,f,?
p,f,d,b,w,i,n,?,?,f,f,?
e,x,d,e,o,?,e,?,?,f,f,?
e,f,s,n,w,i,w,?,?,f,f,?
e,x,s,n,n,?,n,?,?,f,f,?
e,f,w,y,f,?,y,?,?,f,f,?
e,f,y,n,w,?,n,?,?,t,m,?
p,x,w,p,p,?,p,?,?,f,f,?
p,f,?,y,y,i,y,?,?,f,f,?
e,p,w,n,y,?,n,?,?,f,f,?
p,x,k,n,n,?,n,?,?,f,f,?
p,x,?,n,y,?,n,?,?,f,f,?
p,x,k,n,y,i,n,?,?,t,?,?
p,c,i,y,r,?,w,?,?,f,f,?
e,x,y,n,g,?,w,?,?,f,f,?
p,x,t,n,g,y,n,?,?,f,f,?
e,x,h,n,n,s,n,?,?,t,r,?
p,p,g,n,w,y,w,u,w,t,p,?
e,f,g,n,y,t,o,?,?,f,f,?
e,x,d,n,y,?,y,?,?,f,f,?
e,x,t,n,w,t,y,?,?,f,f,?
e,x,t,y,y,?,w,?,?,f,f,?
e,x,?,w,w,?,n,?,w,t,?,?
e,f,h,n,n,s,w,?,w,f,f,k
p,b,?,n,n,?,n,?,w,f,f,k
p,b,s,e,y,?,k,?,?,f,f,?
e,f,d,u,p,?,n,?,?,f,f,?
e,x,k,n,y,?,y,?,?,f,f,?
e,s,e,n,w,?,w,?,?,f,f,?
p,x,y,w,n,?,w,?,?,t,l,?
e,x,e,l,w,?,w,?,?,f,f,?
p,s,t,p,p,?,p,?,?,t,f,?
e,x,h,n,n,s,n,?,?,t,r,?
p,s,d,w,p,h,w,?,?,f,f,?
e,f,e,b,b,?,w,?,?,t,f,?
e,x,d,n,y,?,n,?,?,f,f,?
p,s,w,o,n,?,n,?,?,f,f,?
e,f,s,n,w,i,n,?,?,f,f,?
p,f,s,o,y,?,o,?,?,f,f,?
e,s,?,g,g,?,u,?,?,f,f,?
p,x,g,w,w,?,e,?,?,f,f,?
e,x,d,y,y,?,y,?,?,f,f,?
p,s,t,p,p,?,p,?,?,t,f,?
p,f,?,y,y,i,y,?,?,f,f,?
p,o,l,g,f,f,f,?,?,f,f,?
p,x,g,n,n,s,n,?,?,f,f,?
e,x,s,n,y,?,w,?,?,f,f,w
p,x,s,o,y,g,o,?,?,f,f,?
e,s,?,g,b,?,b,?,?,f,f,?
e,p,w,n,y,?,n,?,?,f,f,?
p,b,s,n,g,s,w,?,?,t,z,?
p,c,h,y,y,?,y,?,?,f,f,?
p,x,y,w,g,?,w,?,?,t,l,?
e,b,h,g,w,s,g,?,?,f,f,?
p,b,w,u,g,s,u,?,?,f,f,?
p,s,t,p,p,?,p,?,?,t,f,?
p,x,t,n,n,y,o,?,?,t,z,?
p,x,?,u,n,?,u,?,u,f,f,?
p,b,g,o,n,?,n,?,?,f,f,?
e,x,?,y,y,?,w,?,?,f,f,?
e,c,h,n,w,s,n,u,w,f,f,?
p,o,?,w,f,g,w,?,?,t,f,?
e,f,s,k,w,?,w,?,?,f,f,?
p,x,e,y,y,?,y,?,?,t,r,n
e,x,?,w,w,?,y,u,w,t,g,?
p,x,k,n,n,i,n,?,?,t,?,?
e,o,l,n,f,?,n,?,?,f,f,g
p,c,k,w,p,?,w,?,?,f,f,?
p,o,?,n,f,g,n,?,?,f,f,?
p,f,d,n,w,i,n,?,?,f,f,?
p,b,s,y,y,?,y,u,w,t,z,k
p,x,e,n,e,?,e,?,?,f,f,?
e,x,s,n,w,s,n,?,?,f,f,?
p,x,g,n,w,y,w,u,w,t,p,?
e,f,s,n,w,i,n,?,?,f,f,?
p,x,g,y,n,s,n,?,?,f,f,?
e,f,s,n,n,t,n,?,?,f,f,?
e,f,s,n,n,?,w,?,?,f,f,?
p,x,d,e,w,?,e,?,?,f,f,?
e,f,t,o,n,i,n,?,?,f,f,?
p,x,w,p,p,?,p,?,?,f,f,?
e,f,e,n,w,?,w,?,?,f,f,?
e,f,y,n,g,?,w,?,?,f,f,?
p,f,k,n,y,k,n,?,?,f,f,?
e,s,l,w,w,?,w,?,?,f,f,?
e,f,h,g,w,s,g,?,?,f,f,?
p,f,d,b,y,s,n,?,?,f,f,?
p,f,?,r,y,?,w,?,?,f,f,?
p,o,?,w,f,g,w,?,?,t,f,?
p,x,g,w,w,?,n,?,?,f,f,?
e,f,e,b,b,?,w,?,?,t,f,?
p,x,s,g,w,?,w,?,?,f,f,?
p,x,s,r,w,y,n,?,?,f,f,?
p,x,i,e,e,?,e,?,?,f,f,n
p,b,t,n,p,i,n,?,?,f,f,?
e,f,t,n,o,t,w,?,?,f,f,?
e,f,?,u,b,?,u,?,?,f,f,?
p,p,y,n,k,s,w,?,?,t,z,?
p,f,?,n,p,?,p,?,?,f,f,?
e,x,?,n,w,?,w,?,w,t,?,?
p,x,d,w,w,h,w,?,?,f,f,?
e,x,t,o,w,k,o,?,?,f,f,?
p,c,k,w,p,?,w,?,?,f,f,?
p,s,w,n,y,?,n,?,?,f,f,?
e,x,s,k,w,?,w,?,?,f,f,?
e,f,t,n,k,?,w,?,?,f,f,w
p,p,y,w,p,?,w,?,?,f,f,?
p,x,g,w,w,?,n,?,?,f,f,?
e,x,t,k,y,?,w,?,?,f,f,w
e,x,?,p,w,s,w,?,?,f,f,?
e,x,h,y,y,?,w,?,?,f,f,?
p,x,s,r,w,i,w,?,?,f,f,?
p,b,w,u,u,s,u,?,?,f,f,?
e,p,y,n,w,?,n,?,?,t,m,?
p,x,h,n,w,g,n,?,?,f,f,?
p,f,y,e,y,y,u,?,?,f,f,?
p,s,?,o,o,?,w,?,?,t,f,?
e,s,d,b,b,?,w,?,?,f,f,?
p,b,g,w,n,?,n,?,?,f,f,?
e,x,s,n,w,i,w,?,?,f,f,p
e,o,y,y,y,k,n,?,?,f,f,?
p,x,y,n,w,y,n,?,?,t,r,?
p,x,y,y,w,y,y,?,?,t,r,?
p,f,k,w,n,?,w,?,?,f,f,?
p,b,h,n,n,t,n,?,?,f,f,?
e,p,?,g,w,?,w,?,?,f,f,?
e,c,g,n,g,?,g,?,?,f,f,?
e,x,g,n,w,t,y,?,?,f,f,?
p,x,e,n,e,?,u,?,?,f,f,?
e,b,y,n,k,?,w,?,?,f,f,?
p,p,y,w,k,?,w,?,?,f,f,?
e,x,?,n,w,?,n,?,w,t,?,?
e,x,t,n,n,?,n,?,?,f,f,?
p,s,t,y,y,?,y,?,?,f,f,?
p,x,s,n,r,y,n,?,?,f,f,?
p,s,s,w,w,?,w,?,?,f,f,?
p,s,t,r,b,?,g,?,?,f,f,?
e,x,?,y,y,?,w,?,?,f,f,?
p,x,h,n,y,i,n,?,?,f,f,?
e,x,y,n,p,y,n,?,?,f,f,?
p,x,s,y,y,g,o,?,?,f,f,?
