@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-diameter REAL
@ATTRIBUTE cap-color {w, n, o, e, y, p, r, k, g, u, l, b}
@ATTRIBUTE stem-height REAL
@ATTRIBUTE stem-width REAL
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}
@ATTRIBUTE ring-type {l, f, p, g, e, ?, r, m, z}
@ATTRIBUTE habitat {d, l, g, h, m, w, u, p}

@DATA
p,6.11,y,6.23,12.35,y,f,d
e,23.46,n,19.98,74.52,n,f,d
p,4.76,n,2.62,4.67,n,f,d
p,1.75,n,4.48,1.58,n,f,g
p,0.71,p,3.87,1.05,k,f,d
p,1.79,k,4.24,2.48,w,f,g
p,9.62,n,7.36,21.65,u,f,d
e,2.82,u,6.76,5.67,w,f,d
e,10.17,b,4.95,19.66,w,f,d
p,5.87,n,0.0,0.0,f,f,d
p,2.94,o,2.88,5.43,y,f,h
p,13.97,g,8.22,17.79,n,f,d
e,5.21,n,6.87,49.26,n,f,d
p,2.69,n,4.74,3.1,y,r,h
p,0.66,o,3.81,1.05,y,f,g
e,3.38,w,3.8,5.69,w,f,g
e,8.84,y,6.07,13.46,y,?,d
e,1.44,n,5.39,2.6,w,f,d
e,8.21,e,5.96,12.82,e,f,d
p,6.38,n,7.42,7.18,n,z,d
p,2.6,w,3.39,2.71,w,f,g
p,5.57,w,7.43,12.82,w,l,g
p,1.14,n,4.6,2.25,n,f,g
e,5.76,n,5.81,6.19,n,r,d
p,3.04,g,2.69,8.21,w,f,g
p,2.92,g,6.81,2.26,n,f,g
p,6.32,n,6.95,8.94,n,f,d
e,8.68,g,12.2,26.61,w,f,d
e,4.0,y,4.77,9.4,w,f,d
p,0.76,y,3.54,0.79,w,f,d
e,6.18,o,6.33,12.86,w,f,m
e,9.59,n,6.75,20.05,u,f,d
p,18.25,n,6.22,42.07,k,f,d
p,2.24,w,3.66,3.49,w,f,p
e,5.57,n,12.23,13.51,n,f,d
p,3.48,b,4.44,3.24,n,f,l
e,14.87,g,9.58,26.44,w,f,d
e,4.83,n,8.26,9.65,w,?,g
e,14.39,n,9.67,18.65,w,l,m
p,5.73,n,6.83,14.08,w,p,d
p,3.68,n,6.58,11.25,w,z,d
e,7.1,p,7.08,18.6,w,f,d
p,3.02,w,4.05,3.65,w,e,m
e,4.88,y,4.89,15.45,y,f,d
e,11.8,r,7.87,23.87,w,f,d
p,3.08,y,5.03,5.98,y,f,g
e,3.75,e,4.93,6.67,e,f,m
p,9.96,n,11.95,11.53,n,?,d
p,2.51,n,5.95,2.45,w,f,d
p,7.69,w,11.3,12.29,w,e,d
e,10.41,w,10.02,17.85,w,r,m
p,0.71,o,3.5,0.86,y,f,d
e,5.93,n,12.87,13.28,w,f,d
p,9.1,r,4.7,13.13,r,f,d
p,8.52,e,6.5,18.25,w,f,d
e,6.07,w,3.87,11.77,w,e,m
p,4.05,n,3.85,3.24,n,f,d
p,11.1,n,12.33,10.92,y,?,d
e,7.6,n,6.07,10.48,n,f,m
e,7.05,l,6.27,18.36,w,f,d
p,5.06,g,8.78,10.47,w,z,g
e,7.52,p,6.43,15.74,w,f,d
e,3.0,n,6.83,2.89,w,f,d
e,9.71,n,9.39,17.9,w,p,l
p,3.19,u,5.51,5.52,u,f,l
p,7.03,e,15.87,8.12,n,f,d
e,5.49,o,6.07,13.15,w,f,g
e,3.54,n,4.78,10.91,y,f,d
p,4.47,l,6.21,7.54,l,e,d
e,6.76,w,5.84,12.42,y,g,d
p,1.33,n,5.01,1.71,n,f,d
e,8.45,w,7.45,16.25,w,l,m
e,12.25,n,9.35,19.45,w,l,d
e,3.91,y,5.05,10.45,w,f,d
p,4.72,w,0.0,0.0,f,f,d
p,5.52,n,5.04,7.26,e,f,d
e,4.63,n,5.8,11.12,e,f,d
p,0.64,y,3.3,0.6,y,f,d
p,2.3,o,5.3,3.28,n,f,d
p,7.39,y,6.04,14.34,y,f,d
e,6.76,n,5.82,12.18,n,f,d
p,10.44,y,7.87,23.52,u,f,d
e,2.95,g,4.48,5.58,n,f,d
e,9.06,y,7.62,20.21,w,f,d
e,9.35,n,11.26,19.57,w,g,d
e,2.59,n,7.21,3.95,n,f,h
p,9.32,n,9.99,12.76,w,f,h
p,2.89,n,5.46,4.24,w,f,d
e,5.12,n,4.0,7.0,w,f,l
e,6.78,w,4.52,22.24,w,f,m
p,5.66,n,5.61,10.19,n,f,d
e,1.5,y,5.26,1.2,y,f,g
p,1.42,y,2.0,2.43,n,f,h
e,0.93,g,2.76,1.41,w,f,d
p,6.42,n,4.09,14.58,w,f,d
e,10.49,n,7.42,23.79,w,f,l
e,10.02,n,6.62,20.2,p,f,d
p,1.56,n,5.06,1.61,n,f,g
e,7.64,y,6.22,13.55,y,g,d
p,5.99,n,5.89,10.71,n,f,d
p,12.96,g,11.1,13.29,w,e,d
p,5.89,n,8.02,11.4,w,z,g
p,15.62,o,18.48,17.75,w,p,d
e,0.98,n,5.34,1.09,n,f,h
p,7.1,o,10.53,20.41,o,r,d
p,3.69,n,9.15,5.68,w,?,g
e,17.27,n,7.07,22.49,w,f,d
p,2.73,n,5.31,2.21,g,f,d
p,4.42,o,5.69,6.59,o,f,g
e,1.69,g,5.22,2.55,w,f,d
p,2.13,n,6.97,2.49,y,e,m
p,7.54,p,4.48,10.11,p,f,d
p,1.61,y,2.01,2.7,n,f,h
p,3.75,n,4.94,4.21,n,f,g
p,3.86,w,5.48,28.02,w,f,d
p,0.72,y,3.49,0.76,w,f,d
p,4.58,n,4.4,4.15,e,f,d
e,3.6,n,4.85,5.69,w,f,d
p,10.46,n,6.93,21.48,u,f,d
p,10.01,n,7.4,16.94,n,f,d
e,4.22,o,5.12,10.81,n,f,d
p,2.39,g,5.73,2.32,g,f,d
p,7.94,r,4.8,11.81,r,f,d
e,9.25,w,7.8,30.94,w,f,d
p,12.41,n,7.87,29.12,y,f,d
p,5.68,n,12.29,6.91,n,f,d
e,16.15,k,7.08,23.68,w,f,d
p,1.63,g,4.73,1.91,n,f,d
p,3.73,n,6.05,4.57,w,f,d
e,4.03,n,3.44,4.5,n,r,d
p,3.63,b,4.37,3.09,n,f,l
p,1.79,n,5.33,2.02,g,f,d
p,1.28,o,5.62,3.6,n,f,g
e,5.03,n,8.81,71.7,n,f,d
e,1.83,u,5.56,4.62,w,f,d
p,3.19,n,4.98,3.45,y,r,g
e,16.8,n,8.74,25.54,w,f,d
e,7.16,p,6.28,14.63,w,f,d
p,11.05,n,6.55,17.47,n,f,d
p,19.84,w,7.5,33.41,w,f,d
e,6.23,n,4.46,11.69,w,l,w
p,4.03,w,4.99,32.83,w,f,p
p,4.94,n,7.2,5.16,n,f,l
e,4.67,w,5.42,3.48,y,f,g
p,3.46,w,4.21,3.82,w,f,p
p,8.12,n,9.27,12.31,n,f,d
p,2.64,w,3.44,3.54,u,f,d
p,2.54,w,3.54,2.62,w,f,g
e,1.79,n,5.5,1.74,g,f,d
p,12.02,o,12.69,23.77,o,r,d
p,3.02,p,4.61,5.98,r,f,d
e,7.31,n,5.51,10.77,w,f,g
p,10.76,r,5.56,14.62,n,f,h
e,10.24,l,7.78,18.31,w,f,d
p,3.33,o,3.04,5.61,o,f,h
p,9.62,g,9.33,19.44,g,f,d
e,3.71,y,3.64,8.47,w,f,d
p,6.59,n,5.16,15.05,n,f,d
p,15.71,n,5.95,33.96,k,f,d
p,10.62,y,8.21,20.56,e,f,d
p,1.43,n,4.92,1.5,n,f,g
e,3.66,n,4.48,5.61,n,r,d
p,6.92,g,4.59,13.4,g,f,d
p,7.84,n,8.65,8.71,n,z,d
p,4.87,w,0.0,0.0,f,f,d
p,2.0,n,5.56,2.51,y,e,m
p,13.65,e,4.37,31.54,n,f,d
p,15.86,r,4.72,24.83,g,f,g
p,3.47,g,0.0,0.0,f,f,d
e,3.31,n,6.69,8.1,y,f,d
p,11.01,e,3.73,26.34,n,f,d
e,10.24,n,12.2,17.59,w,g,d
p,1.47,n,4.41,1.43,n,f,d
e,7.8,y,6.97,12.12,w,f,d
e,11.29,w,5.12,23.63,w,f,d
e,5.04,w,4.74,11.41,w,e,m
e,9.9,n,8.88,17.29,w,l,d
e,9.85,e,7.11,25.03,n,e,d
e,5.8,n,4.65,8.02,w,f,d
e,8.51,n,8.08,11.96,n,f,g
p,8.07,u,6.44,17.0,e,f,d
p,1.97,l,3.12,2.28,w,f,g
p,3.0,k,9.77,2.58,n,f,g
p,14.12,n,9.88,30.37,y,f,d
p,8.71,p,8.24,15.74,p,f,d
e,0.7,w,2.42,1.22,w,f,d
p,3.12,w,6.51,3.38,n,f,l
e,8.08,w,5.77,29.98,w,f,d
e,3.67,n,5.23,3.06,y,f,g
p,8.59,n,10.47,17.35,n,f,d
p,2.99,r,6.06,7.51,l,e,g
e,20.71,n,17.46,85.02,n,f,d
p,4.25,y,5.12,13.05,y,f,d
p,5.64,e,7.96,9.97,e,z,d
e,7.26,y,6.2,14.92,y,f,d
e,4.23,n,4.83,11.3,y,f,d
e,3.24,o,5.09,6.76,e,f,m
e,8.2,n,4.37,21.36,n,f,d
p,3.3,n,3.58,6.46,n,f,d
e,6.37,n,4.09,8.35,w,f,d
p,5.29,y,6.68,7.6,w,f,d
p,2.2,k,3.76,2.47,w,f,g
e,3.11,n,4.69,10.4,n,f,d
e,9.82,k,4.57,15.2,w,f,d
e,9.88,u,4.71,17.57,w,f,d
p,5.55,n,1.35,14.02,n,f,d
e,6.74,w,6.62,26.73,w,f,d
p,3.94,n,6.1,4.96,g,f,g
p,2.89,g,0.0,0.0,f,f,d
p,6.93,y,7.82,7.42,n,z,d
e,6.58,n,6.02,11.02,n,f,g
e,8.25,n,7.96,20.46,u,f,g
e,4.37,l,5.31,6.58,l,f,d
e,9.02,y,7.28,17.38,g,f,d
p,0.54,o,3.91,0.93,y,f,g
p,1.91,n,6.62,2.43,y,e,m
e,8.02,n,10.3,15.23,w,g,d
e,4.63,w,6.85,7.24,w,f,d
e,0.74,w,3.22,1.49,w,f,d
e,9.04,p,7.98,22.01,w,f,d
p,0.86,e,4.29,1.11,k,f,d
p,0.87,p,4.38,1.13,k,f,d
p,4.46,e,4.66,6.84,e,f,d
e,4.39,n,6.73,6.89,w,f,d
e,7.88,n,6.02,9.17,w,f,d
p,2.49,e,6.7,2.49,w,f,d
e,4.67,w,6.79,3.93,w,f,d
p,2.58,g,3.28,14.87,n,f,d
p,5.09,w,5.86,30.59,w,f,p
e,9.29,w,8.09,31.93,w,f,d
e,10.34,y,8.74,25.63,n,e,d
e,8.3,o,5.51,12.03,w,f,g
e,4.28,n,6.74,9.23,w,f,d
e,7.23,w,3.56,9.42,w,f,d
e,23.96,n,30.4,20.56,n,m,m
e,8.58,g,5.8,20.53,u,f,g
e,10.76,b,4.98,20.53,w,f,d
p,1.7,y,2.09,2.59,n,f,d
p,8.1,n,10.4,10.8,w,f,h
e,11.77,n,11.72,19.01,w,g,d
p,7.35,n,8.36,7.73,n,z,d
e,6.33,b,6.94,10.12,n,f,l
p,1.11,y,3.72,2.49,n,f,g
e,7.22,b,4.86,20.35,w,f,d
p,6.44,p,3.44,8.97,p,f,d
e,17.17,e,13.33,32.63,w,f,d
p,5.91,g,5.58,9.16,n,f,d
e,11.98,b,4.94,20.9,w,f,d
e,3.24,g,4.08,6.16,g,f,d
p,6.5,n,6.04,8.05,e,f,d
p,10.38,y,7.24,14.77,w,f,d
p,13.59,o,17.57,18.17,w,g,d
e,9.2,w,5.5,25.77,w,f,d
e,5.98,n,7.03,11.95,n,f,g
e,2.98,w,4.86,2.98,y,f,g
p,8.76,o,4.12,12.42,w,f,d
e,5.13,o,7.38,6.02,n,f,d
p,0.65,o,3.53,0.84,y,f,d
p,3.73,o,0.0,0.0,f,f,d
p,3.0,b,4.66,2.53,n,f,d
p,6.2,y,6.87,18.19,y,f,d
e,4.0,g,4.12,4.87,g,f,d
p,7.94,n,9.6,11.0,w,f,d
p,6.31,y,7.06,14.5,y,f,d
e,10.7,w,18.36,12.86,w,e,g
p,5.39,w,5.34,11.68,w,f,d
p,4.63,y,8.65,7.55,y,z,d
e,2.69,n,6.09,2.45,w,f,d
p,5.0,n,3.95,6.69,n,f,d
e,7.6,g,12.05,25.57,w,f,d
p,11.75,n,10.38,30.73,w,f,d
p,2.58,o,3.03,5.65,o,f,h
p,8.86,w,10.08,11.29,w,f,d
e,9.38,o,10.0,13.34,o,f,d
p,3.11,n,3.93,3.22,w,e,d
p,5.86,e,5.21,7.84,e,f,d
p,5.62,n,4.95,6.43,n,?,d
p,3.74,b,4.64,3.15,n,f,d
p,5.8,e,10.93,6.33,n,f,d
e,2.44,n,8.25,4.35,n,f,h
e,6.4,n,7.72,16.77,y,f,d
e,6.47,n,4.2,11.91,w,r,w
p,3.68,k,4.25,16.23,n,f,d
e,4.55,w,5.72,3.46,w,f,d
e,6.35,n,4.16,7.9,w,f,d
e,7.77,o,6.48,12.64,w,f,d
e,2.99,n,4.37,10.77,n,f,d
e,3.84,p,5.06,6.47,n,f,d
p,4.94,l,7.19,8.66,n,e,d
p,5.24,o,6.99,5.94,k,f,g
e,6.77,w,3.92,11.58,w,e,m
p,1.55,n,4.97,2.53,n,f,g
p,0.87,w,2.86,1.45,e,f,d
p,3.17,w,3.12,7.28,w,f,g
e,15.37,n,9.08,16.58,w,?,d
p,1.74,n,4.5,1.67,g,f,d
p,3.24,g,3.64,15.22,n,f,d
p,5.17,e,6.15,9.21,n,f,d
p,3.54,b,4.07,5.92,w,f,d
e,11.53,u,5.79,21.23,w,f,d
e,8.62,n,8.27,10.99,w,f,d
p,7.6,p,4.22,10.16,p,f,d
p,3.53,u,4.67,6.47,y,f,d
e,7.38,u,6.34,18.81,b,f,l
e,6.07,n,6.23,10.21,w,f,d
e,3.53,n,5.09,5.93,n,f,d
e,7.24,y,5.5,11.98,e,f,d
p,8.22,e,7.28,17.71,w,f,d
e,10.69,w,5.57,23.9,w,f,d
p,5.99,n,4.84,6.33,n,?,d
p,2.21,g,3.37,16.69,g,f,d
p,3.77,r,5.88,6.91,w,e,d
p,2.26,y,7.06,3.7,n,f,d
e,1.18,e,5.81,1.11,n,f,d
e,11.61,n,10.67,23.01,n,f,d
p,7.26,g,4.32,11.76,g,f,d
e,6.93,n,7.76,12.36,n,f,g
e,13.02,w,6.82,24.84,w,f,d
e,6.96,w,3.34,8.12,w,f,g
e,1.31,g,3.26,1.52,w,f,d
p,1.17,y,2.88,4.68,y,f,d
p,14.01,n,5.24,25.84,r,f,d
p,2.42,e,7.65,2.46,n,f,d
p,2.66,w,3.75,2.55,w,f,g
p,2.46,n,7.84,4.08,n,f,l
p,6.95,y,6.55,19.99,y,f,d
e,1.2,w,3.56,1.73,w,f,d
e,2.75,n,5.11,2.68,n,f,l
e,4.25,n,5.61,3.44,y,f,g
e,5.84,n,11.59,11.07,w,f,d
p,2.84,n,3.3,6.24,n,f,d
e,1.01,w,2.74,1.32,w,f,d
p,10.21,n,10.71,15.6,n,f,h
p,2.36,n,3.34,5.89,n,f,d
e,3.91,n,8.21,7.92,w,?,d
e,10.79,g,7.6,20.8,b,f,l
e,12.16,p,7.18,18.65,w,f,d
e,16.42,n,9.55,17.33,w,?,g
p,3.2,n,5.89,7.99,w,z,d
p,5.07,y,3.35,4.79,n,f,d
e,9.64,n,5.51,25.23,n,f,d
p,1.84,k,3.6,2.48,w,f,g
e,11.4,n,9.84,17.04,w,g,d
e,6.5,n,10.82,11.56,n,f,d
e,6.46,e,5.26,11.52,y,f,d
e,11.23,g,7.23,23.21,w,f,d
e,4.36,p,3.92,6.32,e,f,g
e,1.64,n,5.24,2.61,w,f,d
e,7.92,n,6.44,9.87,n,f,g
p,9.42,n,10.48,32.25,n,f,d
e,3.72,n,5.22,5.98,n,f,d
e,7.6,n,8.01,13.05,n,f,d
p,5.05,w,5.89,12.18,w,f,d
e,5.49,n,4.93,7.44,w,f,h
e,3.23,n,4.51,6.09,n,f,d
p,3.77,u,5.39,5.17,u,f,d
p,7.4,u,8.73,18.82,u,f,d
e,11.51,y,6.62,21.74,p,f,d
e,6.83,y,5.76,14.85,y,f,d
e,3.45,n,4.09,10.1,n,f,d
p,5.82,n,4.91,6.52,y,?,d
p,3.4,y,5.07,3.5,n,r,g
e,5.86,y,5.08,14.88,y,f,d
p,4.74,n,11.37,7.12,w,?,g
p,10.46,r,11.0,13.51,w,p,d
p,7.44,n,7.16,10.14,e,f,d
e,15.94,n,15.03,58.45,n,f,d
e,14.46,n,6.82,19.05,w,f,d
p,4.15,n,5.83,8.29,w,z,d
e,10.62,g,2.4,13.81,w,f,d
p,7.81,y,6.71,16.67,y,f,d
p,1.89,y,7.88,2.7,y,f,g
p,9.81,y,11.0,12.85,y,?,d
p,4.04,w,4.06,3.14,n,f,g
e,18.87,n,18.88,72.57,n,f,d
p,1.62,o,3.07,5.28,y,f,m
e,6.86,n,4.19,7.34,w,f,h
p,6.44,y,8.57,8.83,y,?,d
p,4.02,n,0.0,0.0,f,f,d
e,0.98,w,3.29,1.72,w,f,d
e,13.05,n,8.63,16.39,w,r,m
e,7.0,y,7.18,18.59,w,f,d
p,1.99,o,3.02,5.93,o,f,m
e,8.21,o,5.71,16.42,w,f,d
e,9.41,n,9.05,18.46,n,p,d
p,8.54,w,8.47,14.97,w,l,g
p,2.57,k,3.86,16.05,n,f,d
p,3.85,r,6.01,7.82,w,e,d
p,3.08,k,3.64,16.29,n,f,d
e,12.34,p,5.84,17.47,w,f,d
p,3.06,o,3.25,5.43,n,f,d
p,6.58,w,7.71,12.8,w,l,d
e,8.03,n,6.55,9.16,n,f,d
e,8.7,y,10.0,17.23,n,?,d
p,5.64,w,7.79,12.69,w,f,d
e,3.83,n,4.62,10.77,y,f,d
p,4.19,w,0.0,0.0,f,f,d
p,14.75,n,8.51,25.97,y,f,d
e,19.37,e,16.61,35.52,w,f,d
p,3.25,w,3.2,8.56,w,f,g
e,6.13,n,13.24,13.02,n,f,d
e,4.08,u,3.89,6.37,g,f,d
e,3.83,g,3.96,2.7,n,f,d
e,6.55,y,7.46,15.88,y,f,d
e,4.48,n,3.67,12.37,w,r,w
e,13.65,n,6.18,21.86,w,f,l
e,7.02,n,6.12,11.62,n,f,d
e,5.27,n,5.0,8.75,w,f,d
e,4.53,n,4.28,7.46,w,f,d
p,11.43,n,8.52,29.08,y,f,d
p,3.64,w,7.94,3.83,n,f,l
p,4.49,o,0.0,0.0,f,f,d
e,16.13,n,9.0,25.79,w,f,l
e,12.41,p,7.04,18.49,w,f,d
p,8.81,w,13.58,13.64,w,l,d
p,8.62,p,7.72,11.54,p,f,d
e,4.1,y,6.65,7.46,y,f,d
p,12.23,n,11.28,12.73,w,g,d
p,9.84,y,12.73,12.74,n,?,d
e,3.84,n,5.21,6.43,g,f,d
p,4.55,o,6.03,7.74,o,f,g
p,8.49,p,4.03,8.32,p,f,d
e,18.01,o,17.14,36.51,w,f,d
p,6.02,e,4.86,8.46,n,f,d
e,20.49,n,21.75,69.63,n,f,d
p,6.04,n,4.32,6.44,n,f,d
p,3.73,u,5.08,7.72,y,f,d
e,10.95,w,11.0,18.54,w,l,m
e,4.75,n,5.37,5.22,g,l,d
p,2.39,n,6.72,2.61,n,f,d
e,1.28,n,5.22,3.0,n,f,l
p,8.46,n,1.46,14.11,y,f,d
p,7.25,n,8.11,14.94,w,p,d
e,3.12,y,2.75,9.36,y,f,d
p,2.92,g,2.96,7.49,w,f,g
p,7.25,r,6.06,10.6,w,f,d
e,2.88,n,8.57,3.74,n,f,h
p,7.11,n,7.91,12.46,w,p,d
e,4.66,l,6.19,7.55,w,f,l
p,3.13,p,5.05,6.81,r,f,m
e,1.2,g,3.11,1.52,w,f,d
e,5.22,b,6.96,8.8,n,f,l
p,5.03,e,9.81,5.49,n,f,d
e,6.75,n,4.62,13.14,w,l,w
e,6.3,n,6.64,11.86,n,f,h
p,1.37,n,1.88,2.35,n,f,h
p,3.51,o,3.22,6.02,n,f,d
p,7.09,n,5.91,7.54,n,f,d
p,3.87,b,4.97,2.75,n,f,d
p,3.75,u,4.0,7.31,w,f,d
e,7.65,g,12.36,28.47,w,f,d
p,1.87,k,4.16,2.53,w,f,g
p,7.57,y,4.59,12.14,w,f,d
p,3.77,n,4.67,6.44,o,z,d
e,22.4,n,19.13,80.57,n,f,d
p,7.8,y,7.06,12.71,w,f,d
e,2.95,y,3.44,8.3,w,f,d
e,4.54,n,4.87,11.17,n,f,d
p,8.53,g,8.47,19.22,n,f,d
p,5.85,e,8.26,9.37,n,z,d
e,5.05,n,7.25,4.26,n,f,d
p,10.39,n,5.05,13.73,n,f,d
p,11.61,r,5.64,12.8,n,f,d
e,6.41,y,5.96,14.77,g,f,d
p,1.18,y,3.39,5.6,y,f,d
p,8.67,n,6.33,8.99,n,f,d
p,14.67,k,4.92,27.49,g,f,d
p,1.09,n,3.81,2.45,n,f,m
e,4.2,g,3.68,8.03,w,f,d
e,7.33,n,7.19,10.9,n,f,d
p,0.58,e,3.73,0.89,k,f,d
p,3.53,y,9.95,8.25,y,z,d
p,3.95,y,6.76,6.6,w,f,d
p,10.69,w,10.92,12.31,w,f,h
p,10.03,n,6.56,15.39,n,f,h
p,4.16,e,4.35,5.69,e,f,d
p,1.0,w,2.71,1.49,e,f,l
p,3.36,p,5.25,3.49,w,e,d
e,7.28,n,6.61,10.62,w,f,m
e,1.61,y,6.25,1.98,y,f,h
p,9.35,n,7.25,25.49,u,f,d
e,7.34,n,6.54,13.68,n,f,g
p,4.26,n,4.95,3.53,w,e,m
e,3.27,o,4.0,5.99,e,f,g
p,3.13,o,4.22,4.94,n,z,d
p,4.24,n,6.39,4.9,n,f,d
e,9.7,n,6.63,10.37,n,f,g
e,6.31,n,8.32,54.31,n,f,d
e,7.66,e,7.63,20.39,w,f,d
p,4.91,n,5.28,6.24,y,?,d
p,2.78,w,3.3,3.53,w,f,p
p,3.2,g,3.84,15.53,n,f,d
p,7.15,w,8.23,15.16,w,l,d
p,2.77,g,8.08,2.44,n,f,g
p,9.73,y,7.4,19.14,e,f,d
e,6.81,b,6.28,13.28,w,f,g
p,17.9,n,6.19,38.48,k,f,d
p,0.73,o,4.49,1.05,y,f,g
e,3.19,n,6.15,2.86,w,f,d
e,11.35,y,6.17,23.18,n,e,d
e,7.6,n,9.77,13.3,o,f,d
e,10.14,n,7.74,22.51,n,f,d
p,4.1,e,4.36,5.67,e,f,d
e,10.03,b,5.07,19.92,w,f,d
p,16.69,o,17.0,17.45,w,p,d
p,2.83,b,4.58,3.26,n,f,d
e,12.32,l,8.12,24.81,w,f,d
e,7.82,n,3.85,20.75,n,f,d
p,1.27,y,3.85,6.42,y,f,d
p,10.7,o,5.63,14.2,w,f,d
p,8.18,o,4.92,11.74,w,f,d
p,5.3,y,3.64,6.61,y,f,d
p,8.34,n,6.55,9.22,n,f,d
e,4.03,u,3.83,5.57,n,f,d
p,7.56,g,4.64,12.28,r,f,d
e,7.19,w,5.55,23.72,w,f,m
p,19.91,w,7.66,31.58,w,f,d
e,9.78,y,7.54,19.29,w,f,d
p,1.58,n,3.56,1.35,n,f,d
p,3.82,n,3.13,4.17,n,f,d
e,1.18,e,5.29,1.06,n,f,h
p,8.14,y,7.22,15.72,u,f,d
p,4.57,r,5.97,7.31,n,e,g
e,6.26,w,5.02,12.25,w,e,m
p,0.75,o,5.24,1.08,y,f,g
p,2.99,n,8.67,2.34,g,f,g
e,6.97,w,3.37,7.89,w,f,d
e,5.17,y,6.55,3.94,w,f,d
e,3.07,n,5.61,2.45,w,f,d
p,4.91,e,6.53,7.3,k,f,m
p,8.22,n,5.39,7.39,n,f,d
e,6.28,u,4.26,13.91,w,f,d
p,15.86,w,9.36,19.22,n,f,d
p,3.17,g,3.05,15.14,n,f,d
e,4.52,l,6.41,8.57,r,f,l
p,10.97,w,11.47,13.65,w,f,d
p,6.37,y,3.94,5.93,n,f,d
p,8.77,e,6.56,17.84,w,f,d
p,6.97,p,4.08,9.51,p,f,d
e,3.33,p,5.02,6.33,g,f,d
e,10.28,n,8.64,13.57,w,g,d
p,6.34,g,9.96,11.34,w,z,g
p,3.81,n,6.61,4.88,n,f,d
p,8.3,y,7.19,13.0,w,f,d
p,3.95,y,5.8,5.11,n,f,d
e,4.56,n,5.77,5.87,n,r,d
e,12.25,p,6.69,18.13,w,f,d
e,7.0,n,7.12,16.42,w,f,d
p,2.34,n,7.61,3.1,y,f,g
e,8.94,e,6.14,25.86,n,e,d
p,1.61,y,2.46,2.79,n,f,d
e,51.66,y,6.01,27.87,k,f,d
p,4.55,n,5.87,3.65,n,f,d
e,7.26,y,6.51,14.19,y,?,d
p,3.09,l,5.77,7.62,n,e,d
e,6.95,n,4.62,9.28,n,f,d
p,8.31,g,9.08,19.56,u,f,d
p,3.0,r,4.96,5.96,y,f,d
p,2.9,n,3.65,5.97,n,f,d
e,9.97,w,2.47,14.83,w,f,d
e,57.76,y,8.74,53.05,k,f,d
e,10.77,w,5.91,24.2,w,f,d
e,5.98,y,5.23,11.66,y,g,d
p,2.03,n,7.5,2.4,y,e,m
p,4.5,e,5.27,6.33,e,f,d
e,6.78,n,4.89,12.47,w,l,w
p,3.34,e,4.73,5.98,e,f,d
p,6.31,w,8.65,14.49,w,l,d
e,7.83,y,6.37,17.08,y,f,d
e,3.49,w,4.01,2.66,y,f,g
p,9.61,e,2.64,23.35,n,f,d
p,10.4,g,9.55,19.64,u,f,d
e,7.57,b,6.22,12.42,w,f,m
p,6.67,e,3.55,24.04,n,f,d
p,8.82,w,16.92,18.91,w,f,d
p,5.27,w,3.59,12.85,y,f,d
p,1.85,g,5.03,1.86,n,f,d
p,2.34,n,4.98,2.11,n,f,d
p,9.02,p,7.18,13.87,p,f,d
e,3.98,n,5.09,29.06,n,f,l
e,9.47,n,9.72,13.61,w,g,d
p,16.86,n,6.26,38.76,n,f,d
e,14.82,w,22.89,18.51,n,m,d
e,8.77,n,6.65,12.33,y,f,d
p,3.28,n,7.96,3.89,n,f,d
e,6.73,n,8.29,13.77,n,f,h
p,3.56,n,9.47,5.99,w,?,g
e,8.32,n,6.97,17.95,n,p,d
e,7.35,n,6.69,11.47,n,f,d
e,7.07,w,4.71,13.14,w,e,g
p,5.57,n,5.48,6.93,n,f,d
e,4.43,w,3.82,5.85,w,f,g
p,6.19,e,9.47,10.79,y,z,d
e,5.35,y,6.19,11.36,w,f,d
e,5.79,n,4.19,6.45,w,f,d
p,1.35,n,4.88,1.5,n,f,d
p,2.74,o,3.1,5.24,o,f,h
e,3.04,n,7.01,3.03,w,f,d
p,6.59,n,8.28,15.21,w,p,d
p,11.96,n,10.52,14.07,w,e,d
e,4.09,y,6.17,3.87,w,f,d
p,0.98,w,2.8,1.47,e,f,l
p,4.79,y,5.86,6.78,o,f,g
p,5.5,p,3.25,12.29,y,f,d
e,9.49,n,7.77,19.68,u,f,g
p,2.35,n,7.75,2.92,y,f,g
e,10.51,w,6.03,17.29,w,f,d
e,8.48,n,11.64,18.13,w,g,d
e,7.12,n,5.79,11.16,n,f,d
p,9.08,r,10.82,14.54,w,p,d
e,10.53,n,7.37,22.57,p,f,d
p,8.85,n,9.53,15.0,n,f,h
e,1.83,u,5.42,3.88,w,f,d
p,5.71,g,7.08,16.42,u,f,d
p,8.25,w,17.39,18.16,w,f,d
e,3.63,n,6.9,6.99,w,f,d
e,11.01,n,9.04,22.55,w,f,l
p,4.38,e,3.47,11.58,y,f,d
e,9.21,y,8.44,14.74,y,?,d
p,6.15,n,12.87,12.8,w,z,d
p,1.54,n,4.05,1.33,n,f,h
e,1.46,g,4.89,2.35,w,f,g
p,2.82,g,7.38,2.56,g,f,g
e,7.66,g,6.7,12.22,g,f,d
p,5.89,g,7.89,11.89,w,z,d
