@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-diameter REAL
@ATTRIBUTE cap-shape {b, x, s, f, o, c, p}
@ATTRIBUTE cap-surface {t, g, d, y, ?, s, h, l, w, i, k, e}
@ATTRIBUTE cap-color {w, n, o, e, y, p, r, k, g, u, l, b}
@ATTRIBUTE gill-attachment {e, a, d, x, s, ?, p, f}
@ATTRIBUTE gill-color {w, y, p, g, r, e, f, n, o, u, k, b}
@ATTRIBUTE stem-height REAL
@ATTRIBUTE stem-width REAL
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}
@ATTRIBUTE ring-type {l, f, p, g, e, ?, r, m, z}
@ATTRIBUTE habitat {d, l, g, h, m, w, u, p}

@DATA
e,4.33,x,h,n,a,w,5.72,5.25,o,f,d
e,6.25,x,h,y,x,y,7.46,15.85,w,f,d
p,2.38,f,t,n,?,n,8.24,3.58,y,f,g
p,3.44,o,l,g,f,f,0.0,0.0,f,f,d
e,11.7,x,s,r,x,n,7.93,23.49,n,f,d
p,0.8,x,g,o,?,y,3.51,0.75,y,f,d
e,2.66,b,y,n,?,k,5.61,2.36,w,f,d
e,10.41,s,s,y,x,n,7.36,21.3,n,f,d
p,8.51,x,y,w,?,n,8.32,15.14,w,l,g
e,4.99,x,?,n,x,w,6.57,4.08,w,f,d
e,13.72,f,e,g,d,w,9.85,25.44,w,f,d
p,3.34,o,?,w,f,f,5.1,28.33,w,f,d
e,3.0,x,s,w,d,w,3.88,6.67,w,f,g
p,12.65,x,t,n,a,w,12.8,31.93,w,f,d
e,5.51,c,t,n,e,w,11.85,11.67,w,f,d
p,8.87,s,t,p,d,p,7.09,17.53,p,f,d
e,5.46,x,h,g,a,n,5.53,4.49,g,l,d
p,4.23,f,l,y,x,y,5.67,4.76,n,f,d
e,18.07,x,d,e,p,w,14.86,35.17,w,f,d
e,6.33,x,d,y,p,y,6.96,14.66,y,f,d
e,5.35,f,s,n,s,w,5.19,10.16,w,f,d
p,17.7,x,d,e,p,y,5.24,34.34,n,f,d
p,1.42,b,h,n,a,n,4.61,1.37,n,f,h
e,6.0,x,t,n,p,y,6.82,17.12,n,p,d
e,3.83,f,y,g,s,y,3.94,7.1,w,f,d
e,9.42,x,s,w,s,w,7.45,33.27,w,f,d
e,3.98,x,t,n,d,o,5.47,6.64,o,f,d
e,7.64,p,?,g,a,w,6.22,12.58,w,f,d
e,13.67,p,s,n,e,g,12.55,19.21,w,r,m
e,16.96,x,y,n,e,w,11.18,18.0,w,?,g
p,9.78,x,?,w,x,w,10.85,12.38,w,f,d
p,4.28,x,s,y,?,y,7.68,7.21,y,z,d
p,1.65,p,t,n,a,n,6.98,2.44,y,e,m
p,11.73,o,?,e,f,f,3.43,26.42,n,f,d
p,3.45,o,s,g,f,f,0.0,0.0,f,f,d
p,1.15,b,t,y,?,g,3.85,2.47,n,f,m
p,7.07,f,t,e,x,w,16.67,7.81,n,f,d
p,2.37,f,s,o,d,y,2.75,5.65,o,f,h
e,4.35,b,g,n,a,g,6.06,3.72,n,f,d
p,3.08,b,t,n,?,n,11.45,5.84,w,?,g
p,2.76,x,g,n,a,w,7.92,2.64,w,f,d
e,9.17,p,y,n,e,p,8.31,17.13,w,p,d
p,2.48,x,g,n,a,w,7.91,2.5,n,f,d
p,4.83,x,?,y,s,y,4.89,9.98,y,f,d
e,8.56,x,s,n,p,n,6.68,17.76,n,p,d
e,1.23,c,g,n,a,w,5.89,1.14,n,f,d
p,6.17,f,d,n,a,n,5.7,6.98,n,?,d
p,13.13,s,k,w,d,w,4.85,23.24,w,f,d
p,8.08,p,g,n,e,w,8.5,15.03,w,p,d
p,0.68,x,g,n,a,n,3.77,0.87,k,f,d
e,3.9,f,t,n,d,o,6.13,6.93,o,f,d
p,6.92,s,h,r,d,g,4.6,12.94,r,f,d
p,1.87,x,g,n,d,n,2.02,2.66,n,f,h
p,4.06,s,w,u,a,u,4.41,4.37,u,f,l
p,4.04,o,s,n,?,w,0.0,0.0,f,f,d
p,7.45,b,t,w,e,w,12.07,11.74,w,e,d
p,3.46,f,t,n,x,p,5.52,3.7,g,f,d
e,3.98,x,?,w,x,w,7.44,8.33,w,?,g
p,1.54,o,k,n,?,n,4.17,1.66,n,f,d
p,3.77,f,?,w,x,p,8.22,4.3,n,f,l
e,18.52,p,t,n,p,w,13.88,68.41,n,f,d
p,2.04,b,?,n,a,g,4.84,1.96,n,f,d
e,8.92,o,?,n,?,w,4.94,25.25,n,f,d
p,1.74,f,i,k,a,p,3.38,2.52,w,f,g
p,11.5,x,e,o,a,y,11.77,23.97,o,r,d
p,5.17,s,?,e,d,b,5.38,5.28,n,f,d
e,9.8,x,?,g,s,g,8.21,22.7,u,f,g
p,8.95,x,i,n,a,n,11.52,17.83,n,f,d
p,1.1,x,g,w,a,w,2.7,1.45,e,f,d
p,7.13,x,y,w,?,p,7.29,12.87,w,l,d
e,6.39,p,?,g,f,f,6.46,19.18,n,f,d
e,12.47,x,h,n,p,y,9.24,23.54,n,f,d
e,12.31,x,s,y,x,n,7.44,22.22,n,f,d
p,9.45,f,?,w,x,w,9.61,12.18,w,f,h
p,13.64,f,h,e,e,w,16.64,17.59,w,p,d
e,2.77,x,d,n,p,n,4.4,10.12,n,f,d
e,8.49,x,?,g,p,g,13.26,26.72,w,f,d
p,3.56,o,t,n,?,w,0.0,0.0,f,f,d
p,2.75,o,?,k,f,f,3.0,14.13,g,f,d
e,4.99,s,l,n,f,f,6.97,49.98,n,f,l
e,8.69,f,?,n,s,b,7.92,20.85,b,f,d
p,2.02,f,?,u,a,w,3.71,6.69,w,f,d
e,3.37,f,d,n,d,p,3.89,5.54,g,f,d
e,0.84,p,g,w,?,g,2.58,1.38,w,f,d
e,5.73,f,g,n,a,g,6.2,3.83,g,f,d
p,7.2,f,?,r,x,y,6.13,12.24,w,f,d
p,2.03,c,?,u,a,n,2.51,3.4,u,f,p
p,0.81,x,?,o,d,o,4.36,0.95,o,f,g
e,6.51,s,w,y,f,f,7.09,10.73,y,f,d
p,5.11,b,h,n,?,n,13.63,7.71,w,?,g
e,4.34,f,d,u,d,p,5.2,5.69,g,f,d
p,0.59,x,?,o,d,o,4.33,1.0,y,f,g
p,9.1,s,?,r,d,o,4.66,13.95,w,f,d
p,18.54,f,t,n,d,n,5.28,25.96,g,f,l
e,1.35,x,g,y,d,w,6.09,1.92,y,f,h
e,11.26,x,h,n,p,y,9.35,23.26,n,f,d
p,9.7,o,?,e,f,f,2.73,22.07,n,f,d
p,6.98,f,t,y,x,y,5.39,15.78,y,f,d
p,3.29,b,?,n,a,k,10.42,2.68,n,f,g
p,3.85,x,?,p,x,w,5.17,6.53,w,f,d
e,18.7,x,s,n,e,n,10.99,17.79,w,r,m
p,4.33,f,l,y,x,e,6.19,5.03,y,f,d
e,6.18,c,?,n,f,f,5.89,21.12,n,f,l
e,10.08,x,y,y,?,w,8.69,26.42,n,e,d
p,3.32,f,d,n,x,y,4.18,3.03,n,f,d
p,2.41,x,h,n,a,n,3.53,4.57,o,z,d
p,2.38,f,h,n,?,n,7.57,3.37,y,f,g
e,10.05,f,e,b,?,b,4.84,20.92,w,f,d
p,5.59,b,k,n,d,n,5.65,6.38,y,?,d
p,4.99,s,k,y,p,n,3.95,6.0,n,f,d
e,3.99,x,?,y,a,y,3.84,9.59,w,f,d
p,2.96,s,w,o,d,y,3.22,5.34,n,f,d
p,3.05,o,?,k,f,f,4.26,16.68,g,f,d
e,6.66,x,?,w,e,w,5.87,11.33,w,g,d
p,6.32,s,?,n,d,p,6.22,6.06,n,f,d
p,13.42,x,s,y,s,p,8.61,18.22,n,f,d
p,6.78,f,?,y,x,n,6.35,9.67,w,f,d
p,0.66,x,?,o,d,o,4.23,0.98,y,f,g
e,2.96,f,s,w,d,w,2.96,5.0,w,f,m
e,7.69,f,s,n,s,w,5.73,9.76,w,f,g
p,4.94,x,h,r,s,u,5.63,7.32,w,e,g
e,6.25,x,y,n,e,p,5.58,10.14,n,f,d
p,3.17,b,y,n,?,u,5.55,4.33,w,f,d
e,3.96,f,h,n,?,k,5.9,6.42,w,f,d
e,7.06,x,s,w,e,n,6.11,13.46,w,e,g
p,9.5,x,?,w,x,w,9.67,10.64,w,f,h
p,13.95,x,t,k,d,w,4.88,24.48,n,f,l
e,13.27,f,?,l,d,y,2.6,16.35,w,f,d
e,2.12,f,y,n,a,p,7.21,3.75,n,f,l
p,3.54,x,d,w,a,w,3.27,2.5,w,f,g
p,12.92,s,t,k,d,n,4.6,24.89,r,f,d
p,8.71,x,h,r,?,w,11.42,16.68,w,p,d
p,4.85,o,?,w,f,f,5.47,31.44,w,f,p
p,1.03,x,g,w,a,w,3.18,1.48,e,f,d
e,1.33,c,g,n,a,g,5.1,1.4,g,f,d
e,3.12,x,d,o,a,e,5.08,6.75,e,f,m
e,6.53,x,?,y,e,w,6.11,12.6,w,g,d
p,5.23,f,k,n,d,n,5.21,6.3,y,?,d
e,56.48,o,y,y,p,y,7.11,36.39,n,f,d
p,3.48,b,y,p,e,w,4.0,3.47,w,e,m
p,0.86,x,g,o,?,y,3.35,0.69,w,f,d
p,3.45,f,w,u,a,u,5.19,5.09,u,f,d
p,5.12,x,h,o,a,n,5.31,6.91,o,z,d
e,14.66,x,e,n,e,w,11.64,18.14,w,?,g
p,11.99,f,k,n,d,y,4.71,25.14,n,f,d
p,4.94,x,s,o,e,k,6.84,6.75,k,f,m
p,6.29,x,e,e,a,w,8.4,10.58,y,z,d
p,6.25,x,t,y,x,y,5.04,16.32,y,f,d
p,11.95,x,?,n,e,w,10.48,12.22,w,g,d
p,1.59,b,h,n,a,n,4.98,1.59,n,f,g
p,0.98,b,t,y,?,k,3.2,2.46,n,f,m
e,5.55,x,h,n,e,w,11.18,11.66,w,f,d
e,6.47,x,t,y,x,y,7.61,15.23,w,f,d
p,6.96,x,?,n,d,y,6.58,11.67,n,f,d
p,5.54,x,e,e,a,w,7.9,9.42,e,z,d
p,3.33,b,w,y,a,y,5.41,6.2,y,f,m
e,8.25,x,d,e,p,y,7.83,13.92,e,f,d
e,5.86,s,l,w,d,p,3.3,8.17,w,f,g
p,8.04,x,h,e,x,w,6.57,18.34,w,f,d
p,5.89,x,s,e,e,y,5.67,7.95,k,f,m
p,2.98,o,l,g,f,f,0.0,0.0,f,f,d
p,4.51,f,l,n,x,y,4.78,4.77,y,f,d
e,1.78,x,g,y,a,w,6.18,2.22,y,f,g
e,10.85,x,s,n,p,y,10.16,18.02,n,p,d
p,7.03,x,h,e,x,w,5.56,16.84,w,f,d
p,7.83,f,y,y,s,y,6.51,17.78,u,f,d
e,15.61,x,e,n,e,w,10.2,18.09,w,?,g
p,11.03,s,t,p,d,p,9.36,17.25,p,f,d
p,0.73,x,g,n,a,p,3.63,1.02,k,f,d
e,9.26,s,?,g,s,g,7.24,23.13,u,f,g
p,3.25,x,t,n,s,n,5.15,8.79,w,z,d
p,3.01,b,w,r,a,y,4.94,6.11,y,f,m
e,20.15,x,d,o,p,w,16.26,35.99,w,f,d
p,5.18,x,e,e,a,y,7.52,9.48,n,z,d
p,9.06,x,i,n,a,n,7.97,14.43,n,f,h
p,8.7,p,y,w,?,p,18.65,18.21,w,f,d
p,2.31,f,i,l,a,w,3.95,2.77,w,f,g
e,15.72,f,?,w,d,y,2.6,17.96,w,f,d
e,2.54,x,?,b,?,w,4.99,4.24,w,f,d
e,4.09,s,?,y,f,f,7.59,9.4,y,f,d
e,9.51,x,e,l,x,w,5.68,14.6,w,f,d
p,7.13,f,d,n,d,y,5.84,9.58,e,f,d
e,7.42,f,h,o,s,y,8.19,12.03,n,f,d
e,5.85,f,w,y,f,f,3.96,9.61,y,f,d
e,4.57,x,t,n,e,w,10.96,10.43,n,f,d
e,10.24,f,s,y,d,w,8.13,14.11,n,?,d
e,6.76,b,h,k,s,g,4.41,10.34,g,f,d
e,8.7,x,s,n,e,w,6.98,9.65,n,f,d
p,5.37,x,k,n,a,n,5.29,6.46,y,?,d
e,13.67,s,t,w,a,y,6.71,21.16,w,f,d
p,3.08,s,d,w,a,p,3.57,2.38,w,f,g
e,6.73,x,h,y,p,y,7.4,15.59,y,?,d
e,7.42,f,s,n,s,w,5.05,9.49,n,f,l
e,15.87,x,y,n,e,w,10.74,18.44,w,?,d
e,4.33,x,?,y,a,y,3.82,10.67,w,f,d
e,51.39,o,y,y,p,y,6.33,25.86,n,f,d
e,7.76,f,s,w,e,n,5.11,12.48,w,e,g
e,6.43,x,y,n,e,p,4.24,11.8,w,l,w
p,12.53,x,?,n,e,w,10.48,14.84,w,e,d
e,1.1,b,g,w,?,g,2.74,1.53,w,f,d
e,4.53,x,?,w,d,r,6.32,7.25,w,f,d
e,3.79,f,t,n,d,o,6.02,7.18,w,f,d
p,9.35,f,?,n,x,w,10.06,12.0,w,f,d
e,15.25,f,t,w,a,k,6.54,23.12,w,f,d
p,7.3,x,s,r,s,w,5.55,15.16,n,f,d
p,0.78,x,g,o,?,y,3.47,0.75,y,f,d
p,3.8,b,y,e,e,w,5.34,3.54,w,e,d
e,3.59,b,g,n,x,w,4.13,2.68,y,f,g
e,7.64,x,?,n,?,w,8.85,10.55,w,g,d
e,3.01,s,y,n,d,p,7.55,3.7,n,f,h
p,1.7,b,g,o,?,n,6.16,2.82,n,f,m
p,3.84,f,?,y,x,w,4.95,6.89,w,f,d
e,1.84,x,s,y,a,w,6.88,2.41,y,f,d
e,13.48,f,s,w,e,g,12.0,18.16,w,l,m
e,4.32,f,t,n,d,o,5.7,7.92,w,f,d
p,4.29,b,h,n,?,k,8.52,6.12,w,?,g
p,3.36,x,i,e,?,e,4.91,4.91,e,f,d
p,2.31,b,?,n,a,g,5.22,1.95,n,f,d
p,2.74,o,?,k,f,f,3.03,14.32,g,f,d
e,6.59,x,l,w,d,p,3.03,8.27,w,f,g
p,11.5,x,e,y,p,o,10.5,34.72,u,f,d
e,4.93,x,h,n,a,w,7.59,6.65,o,f,d
p,5.97,f,?,y,s,y,5.57,12.86,y,f,d
e,8.42,f,?,g,s,g,6.73,18.07,u,f,d
p,6.96,x,t,e,x,w,6.38,16.78,w,f,d
p,4.52,c,i,y,?,n,5.9,7.09,w,f,d
p,4.8,f,?,n,d,w,5.26,8.87,n,f,d
e,8.96,x,?,g,s,g,7.65,21.84,u,f,d
p,5.09,f,k,y,p,n,4.07,5.52,n,f,d
p,8.56,x,?,g,x,u,7.85,18.07,u,f,d
e,20.62,p,y,w,?,w,26.4,21.42,n,m,m
e,6.09,c,t,n,e,w,11.95,11.69,n,f,d
e,5.96,x,h,n,x,w,5.89,6.34,n,r,d
e,7.36,f,s,n,s,n,8.4,11.04,n,f,d
p,8.4,x,i,o,a,o,12.01,22.07,o,r,d
e,8.98,x,e,l,x,w,6.16,14.0,w,f,d
e,4.98,x,y,n,s,y,3.82,7.28,w,f,d
e,15.49,x,s,n,a,k,7.64,23.49,w,f,d
p,3.74,x,s,g,s,w,3.56,13.21,n,f,d
p,5.78,b,s,o,e,g,6.62,7.08,k,f,g
p,4.36,x,h,o,a,n,4.64,5.91,n,z,d
p,3.23,x,t,n,s,n,5.36,8.07,w,z,d
e,9.34,x,h,n,p,y,7.91,22.08,n,f,d
p,2.51,b,?,n,a,n,8.37,2.39,g,f,g
e,6.35,f,w,y,f,f,4.63,11.3,y,f,d
e,1.44,c,g,n,a,g,4.94,1.45,g,f,d
e,1.51,x,w,n,?,k,5.67,2.82,w,f,g
p,6.92,x,y,w,?,n,8.94,14.75,w,l,g
p,9.11,x,y,n,a,n,12.7,11.4,n,?,d
e,3.4,b,g,w,x,w,3.61,2.79,y,f,g
e,2.74,x,h,n,?,k,5.83,6.11,w,f,d
e,8.67,x,s,n,e,w,6.56,9.3,w,f,d
p,5.42,x,?,e,?,g,3.64,11.46,y,f,d
e,6.84,s,?,y,a,w,6.09,14.46,g,f,d
e,6.12,x,s,w,e,p,5.67,12.96,w,e,g
p,4.24,f,k,y,p,n,3.78,5.55,n,f,d
p,3.22,b,w,u,a,u,5.45,6.12,u,f,l
p,1.17,x,g,w,a,w,3.13,1.75,n,f,l
p,3.13,b,y,n,?,w,5.71,4.36,w,f,d
p,2.83,x,g,e,a,p,7.86,2.59,n,f,d
e,2.74,x,d,p,a,e,4.81,6.91,o,f,m
p,7.21,x,y,n,a,y,8.61,9.06,n,?,d
e,8.58,x,?,n,?,w,10.8,15.71,w,g,d
e,6.95,x,?,g,p,g,12.44,26.74,w,f,d
p,10.37,p,?,n,p,p,11.08,31.5,n,f,d
e,3.84,x,h,o,a,o,4.71,6.3,e,f,m
e,1.59,c,g,n,a,g,4.67,1.37,g,f,d
p,11.53,x,t,n,a,w,13.42,34.75,w,f,d
e,4.39,x,h,n,x,w,4.75,5.13,n,r,d
p,3.94,x,i,e,?,e,4.68,5.92,e,f,d
e,4.81,x,t,g,a,n,6.11,5.18,w,l,d
p,3.79,c,i,y,?,r,5.91,7.01,w,f,d
p,1.89,p,t,n,a,n,5.9,2.4,y,e,m
e,4.16,s,l,n,f,f,6.9,40.87,n,f,l
e,5.86,x,y,n,e,p,4.36,13.39,w,l,w
p,13.95,f,h,o,e,w,17.08,15.9,w,g,d
p,2.85,x,s,g,d,w,2.55,6.76,w,f,g
e,6.0,f,y,n,e,n,5.32,13.51,w,l,w
p,5.95,s,d,y,d,o,3.47,6.7,o,f,d
p,2.42,x,s,g,d,w,2.52,6.69,w,f,g
p,4.43,x,?,y,s,y,5.2,13.19,y,f,d
p,4.98,b,s,y,?,k,8.71,8.02,y,z,d
e,3.26,x,?,w,d,r,4.83,6.1,w,f,l
e,6.48,x,?,n,x,w,6.31,15.62,w,f,d
e,4.4,x,?,w,x,n,7.25,8.36,w,?,d
e,10.54,s,?,w,d,w,6.81,27.88,w,f,d
p,12.98,x,s,n,p,y,9.64,29.78,y,f,d
p,1.3,x,g,n,d,n,1.57,2.47,n,f,h
e,9.69,x,s,y,d,w,10.73,15.27,n,?,d
e,7.28,x,w,y,f,f,4.63,14.26,y,f,d
e,8.95,f,s,u,a,w,5.06,15.81,w,f,d
e,7.65,o,?,n,?,w,4.64,20.39,n,f,d
p,10.47,x,h,r,?,w,12.15,18.32,w,g,d
e,12.45,s,?,w,d,w,5.53,22.9,w,f,d
p,5.27,b,h,n,?,k,11.7,7.05,w,?,g
p,3.78,f,k,n,s,p,4.15,3.11,n,f,g
p,6.38,o,s,w,?,w,0.0,0.0,f,f,d
p,1.87,b,g,y,?,n,5.5,2.64,n,f,g
e,16.35,f,e,n,a,w,10.1,25.78,w,f,l
p,7.76,x,w,p,s,p,4.42,10.32,p,f,d
p,4.73,x,s,e,e,y,7.38,6.98,k,f,g
p,7.67,f,t,e,x,w,6.63,18.28,w,f,d
p,0.72,x,g,y,?,y,3.7,0.74,w,f,d
p,3.39,b,w,r,a,r,5.19,6.51,r,f,d
e,11.68,p,y,w,e,p,21.0,12.82,w,e,g
e,5.7,f,s,k,a,w,4.32,13.34,w,f,d
p,8.29,s,t,g,d,w,4.7,13.0,g,f,d
p,1.34,f,s,y,f,f,3.92,5.46,y,f,d
e,8.55,x,?,g,p,g,10.73,24.82,w,f,d
p,4.16,x,?,n,x,p,8.35,4.24,n,f,l
e,9.83,f,y,e,?,w,6.43,25.03,n,e,d
p,0.76,f,?,o,d,o,5.04,1.0,y,f,g
e,3.86,s,?,y,f,f,6.8,8.69,o,f,d
p,1.97,b,g,y,?,n,5.92,2.17,n,f,m
e,7.62,x,l,w,d,w,3.48,7.75,w,f,g
e,47.13,o,y,y,p,y,5.64,30.49,n,f,d
p,2.49,c,h,n,?,n,8.84,3.18,y,f,g
p,19.03,x,g,e,p,y,4.73,35.04,n,f,d
p,5.95,b,d,n,a,n,6.05,6.7,n,?,d
p,4.44,b,y,r,s,g,6.29,8.33,l,e,g
p,0.67,x,g,n,a,p,3.78,0.89,k,f,d
p,2.31,f,h,n,?,y,9.16,3.19,y,f,g
p,2.16,p,t,n,a,g,6.66,2.45,y,e,m
p,0.83,x,g,p,a,p,4.06,0.96,k,f,d
e,1.12,f,w,n,?,k,5.07,2.33,w,f,d
p,6.14,x,k,n,a,n,6.2,6.15,y,?,d
p,7.83,s,?,y,d,o,5.21,11.72,w,f,d
e,7.01,x,h,n,x,w,6.4,6.71,n,r,d
e,1.65,c,g,n,a,g,5.47,1.77,g,f,d
e,3.7,f,s,w,d,w,3.47,7.06,w,f,m
e,3.7,x,k,n,p,n,4.7,10.64,n,f,d
e,3.37,x,k,n,p,e,4.61,9.11,y,f,d
p,3.46,f,t,y,a,r,5.56,7.11,y,f,d
p,13.69,x,s,n,p,o,9.25,30.91,y,f,d
p,2.25,x,g,n,a,w,6.14,2.67,n,f,d
p,1.5,b,h,n,a,n,4.61,1.7,n,f,g
p,1.16,x,g,w,a,w,3.12,1.48,e,f,l
p,5.05,s,d,o,d,y,3.08,5.68,o,f,h
p,2.78,b,w,p,a,r,4.16,5.29,r,f,d
e,3.04,x,d,o,a,o,4.23,6.41,o,f,g
e,8.99,f,?,g,s,b,6.24,19.91,b,f,d
e,1.13,p,g,g,?,g,2.77,1.43,w,f,d
p,0.72,x,g,n,a,p,4.03,0.97,k,f,d
p,5.3,f,l,n,x,n,7.76,5.67,n,f,d
e,3.74,s,d,u,d,p,4.77,6.63,n,f,d
p,10.83,x,k,n,p,o,7.77,23.46,y,f,d
e,4.59,x,?,n,x,n,7.87,9.23,n,?,g
p,7.15,x,w,p,s,p,4.61,9.27,p,f,d
e,8.35,f,s,w,s,w,7.19,30.1,w,f,m
p,0.98,b,t,y,?,k,3.38,2.56,n,f,m
e,1.2,x,w,n,?,g,4.91,2.55,w,f,g
p,1.06,x,g,w,a,w,3.28,1.53,e,f,l
e,9.63,x,h,n,p,y,8.68,13.8,n,f,h
p,2.62,f,s,w,d,w,2.86,7.06,w,f,g
p,4.77,x,h,n,a,n,4.63,5.58,n,z,d
p,4.31,b,t,n,x,p,7.25,5.67,n,f,d
p,5.16,f,l,n,x,y,6.23,5.26,y,f,l
p,11.21,x,t,n,a,w,12.99,35.85,w,f,d
p,2.49,x,g,e,a,w,8.04,2.78,n,f,d
p,13.4,x,h,o,e,w,17.95,17.14,w,p,d
p,2.59,c,?,w,a,w,3.32,3.42,u,f,p
p,2.6,x,y,n,a,w,6.09,3.5,y,r,h
e,5.06,x,t,n,p,n,6.17,14.04,e,f,d
p,3.14,b,w,u,a,u,5.67,5.68,u,f,l
e,1.45,c,g,n,a,w,4.72,1.45,g,f,d
e,3.1,s,y,n,a,p,8.79,3.91,n,f,h
p,3.59,x,t,o,a,n,4.07,5.85,n,z,d
p,3.09,x,d,w,d,w,4.28,2.66,w,f,g
e,3.21,f,h,n,?,n,5.8,6.58,w,f,d
p,5.34,s,?,n,d,b,5.08,5.7,n,f,d
p,0.74,x,g,o,?,y,3.51,0.7,y,f,d
p,2.99,x,y,n,a,w,5.97,3.78,y,r,g
p,3.95,f,k,w,s,p,3.99,2.94,n,f,g
p,1.28,s,s,y,f,f,2.7,4.79,y,f,d
e,1.57,x,w,g,?,k,4.91,2.58,w,f,g
e,6.46,p,s,w,e,k,5.58,12.86,w,e,g
p,1.64,p,t,n,a,g,6.78,2.48,y,e,m
p,4.59,o,s,r,f,f,0.0,0.0,f,f,d
e,2.66,b,y,n,?,k,7.19,3.05,w,f,d
e,13.57,x,s,n,e,g,10.25,17.19,w,r,m
e,2.7,x,?,b,?,u,6.55,4.87,w,f,d
p,6.36,f,h,e,x,w,15.67,8.0,n,f,d
e,14.21,x,y,n,e,w,10.28,17.41,w,?,d
p,9.3,p,g,n,e,w,9.0,16.33,w,p,d
p,5.8,x,k,n,d,n,5.09,6.08,n,?,d
e,10.87,f,y,w,e,p,16.2,12.06,w,e,u
e,8.37,x,s,n,e,w,7.07,10.15,w,f,d
p,8.59,x,y,o,a,o,12.92,23.62,y,r,d
e,3.7,x,h,n,x,n,4.57,5.19,n,r,d
p,1.71,f,i,k,a,w,3.67,2.31,w,f,g
e,1.23,x,g,n,a,w,5.5,1.02,n,f,h
e,5.49,f,y,n,s,g,4.24,7.39,w,f,d
e,7.58,x,d,y,p,r,5.68,12.08,y,f,d
e,21.37,p,t,n,p,w,20.52,91.91,n,f,d
p,3.21,x,t,o,a,n,3.15,5.05,n,z,d
p,4.34,f,w,u,a,g,5.66,6.68,u,f,l
e,5.87,x,l,w,d,w,3.33,7.21,w,f,g
p,5.89,f,?,y,s,y,4.71,10.77,y,f,d
p,12.24,x,t,n,a,w,10.59,28.5,w,f,d
p,1.03,x,g,w,a,w,2.99,1.34,e,f,d
e,10.6,s,t,p,d,o,6.94,18.0,w,f,d
p,1.64,b,g,n,?,n,5.97,2.79,n,f,g
e,12.25,s,t,o,d,o,6.37,17.91,w,f,d
p,2.42,o,?,k,f,f,3.8,14.53,g,f,d
p,6.23,x,e,e,a,y,8.61,10.5,y,z,d
p,9.81,o,?,e,f,f,4.43,27.07,n,f,d
p,8.92,x,e,n,a,n,9.35,12.86,n,f,h
e,11.67,f,y,n,?,w,6.93,26.49,n,e,d
e,3.04,b,y,n,?,k,6.95,3.11,w,f,d
p,1.82,x,k,n,?,n,4.82,1.69,n,f,d
p,3.39,s,?,u,a,w,4.4,6.02,w,f,d
p,1.68,o,k,n,?,n,4.89,1.55,n,f,d
p,3.05,s,s,w,d,w,3.17,7.8,w,f,g
e,4.19,b,g,g,a,g,6.38,4.09,g,f,d
p,6.08,x,?,e,?,g,3.75,13.21,y,f,d
e,7.96,s,l,w,d,p,3.61,9.26,w,f,g
e,5.59,f,y,n,s,w,4.84,6.08,w,f,d
p,2.25,s,w,n,d,n,3.02,5.12,n,f,d
p,1.53,x,k,n,?,n,4.43,1.75,n,f,d
p,2.22,c,h,n,?,y,8.15,3.36,y,f,g
e,6.57,x,t,n,e,w,12.38,13.17,w,f,d
e,7.93,x,s,n,p,y,8.03,17.64,n,p,d
p,3.18,c,?,u,a,n,3.73,3.67,w,f,d
p,11.25,x,e,y,p,o,8.99,27.48,e,f,d
p,16.89,f,t,g,d,w,4.74,24.29,g,f,l
p,2.0,f,?,u,a,n,3.14,3.38,u,f,p
p,8.87,f,h,r,?,w,11.36,16.8,w,p,d
e,4.23,x,?,w,d,r,6.5,8.94,r,f,l
p,1.87,b,?,n,a,g,4.8,1.95,n,f,d
p,4.9,c,e,y,x,p,4.81,11.94,w,f,g
p,3.05,b,y,n,?,u,4.85,4.2,w,f,d
e,0.62,x,g,n,a,p,4.54,0.78,n,f,h
p,3.58,x,?,w,x,p,7.59,3.76,n,f,d
e,1.29,c,g,n,a,w,4.36,1.28,g,f,d
p,2.2,p,t,n,a,g,6.37,2.41,y,e,m
e,10.2,x,h,n,p,n,7.76,18.09,n,p,d
e,4.01,x,t,n,d,o,6.08,7.6,o,f,d
p,3.61,b,y,n,?,w,6.21,4.63,w,f,d
p,17.49,f,t,k,d,w,4.89,26.03,g,f,l
e,5.33,f,s,n,x,w,6.36,9.55,n,f,l
e,4.72,s,?,n,d,w,2.9,6.71,w,f,h
p,5.43,s,?,n,d,b,6.18,5.71,n,f,d
p,6.45,f,w,p,s,p,4.42,10.5,p,f,d
p,14.25,f,t,k,d,w,5.16,25.67,n,f,g
p,3.85,b,t,n,x,p,6.21,4.97,n,f,m
e,18.61,x,d,o,p,n,14.14,34.18,w,f,d
p,2.75,s,d,w,d,w,2.77,2.4,w,f,g
p,3.13,f,?,u,a,n,4.01,3.59,w,f,p
e,10.02,x,s,u,a,w,4.86,17.36,w,f,d
p,15.08,f,k,w,d,n,4.87,25.73,w,f,d
e,2.72,f,y,n,a,p,5.59,3.38,n,f,h
p,3.78,x,t,o,a,n,4.44,5.92,o,z,d
e,15.28,s,e,g,d,w,7.65,24.59,w,f,l
